Regulator	Target	MI
miR-126*	FCN3	0.12576743020913916
miR-126*	SLC4A1	0.12625654860769053
miR-126*	IL1R1	0.09052330926796603
miR-126*	TIMELESS	0.06128533198661934
miR-126*	APOH	0.17474514550454412
miR-126*	FN1	0.09853174521150354
miR-126*	CXCL11	0.2123874132093766
miR-126*	PRL	0.14095976557853174
miR-126*	NGF	0.11875953896669067
miR-126*	C1R	0.12748348154158418
miR-126*	miR-126	0.9842787594054467
miR-126*	CCL28	0.1610705391333216
miR-223*	CLU	0.1983687271869341
miR-223*	IGHG1	0.1716423644953835
miR-223*	ITIH4	0.19366541860860131
miR-223*	RETN	0.04509305818576159
miR-223*	KNG1	0.18760515780851694
miR-223*	miR-28-3p	0.7249332872393186
miR-223*	S100A12	0.05374264307600374
miR-223*	APOC3	0.15081372595447284
miR-223*	CD6	0.0871781299511607
miR-223*	SHBG	0.12000115752741625
miR-146a	CCL4L1	0.0980065715818288
miR-146a	HGF	0.0970202893017138
miR-146a	F2R	0.44020838364704584
miR-146a	STAMBP	0.6849980784369665
miR-146a	CD274	0.6272217807439162
miR-146a	miR-335	1.0940114934875087
miR-146a	ORM1	0.12928461459588192
miR-146a	C8A	0.20021490946235243
miR-146a	THBD	0.09306765716578624
miR-146a	CASP8	0.49328354480087455
miR-146a	SIRT2	0.8520261716195936
miR-146a	ITIH1	0.16332698309125337
miR-146a	miR-28-3p	1.160461816797124
miR-146a	CCL8	0.06255642673960082
miR-146a	miR-24	1.2578442346704835
miR-146a	miR-21	1.0495493542620435
miR-146a	APOL1	0.12301916421073589
miR-146a	EGF	0.5892144396852306
miR-146a	APOC1	0.1145885948507841
miR-27b	IL15RA	0.0964733801973221
miR-27b	DKK1	0.4629529314990535
miR-27b	SERPING1	0.15448211309577875
miR-27b	LPA	0.1292008640081237
miR-27b	REN	0.08123870257009802
miR-27b	SERPINA7	0.09794304016686972
miR-27b	MBL2	0.14286148047781122
miR-27b	FGG	0.16330771344754869
miR-27b	AFM	0.1199354993568793
miR-27b	miR-126	1.0289228703425932
miR-27b	IL10RB	0.0476569859710807
miR-27b	AGT	0.18306174801683994
miR-27b	LRG1	0.13312860537162408
miR-148a	SERPINC1	0.10370224543805939
miR-148a	CCL4	0.14005406086803518
miR-148a	APOE	0.16829591589928317
miR-148a	miR-21	0.8407028720837841
miR-148a	CCL25	0.05120069494031121
miR-148a	BDNF	0.10843487814211539
miR-28-3p	miR-223*	0.7336250245045974
miR-28-3p	miR-223	1.2338315430647109
miR-28-3p	CFI	0.17997849645905806
miR-28-3p	miR-146a	1.160461816797124
miR-28-3p	A1BG	0.15223069027287206
miR-28-3p	miR-320	1.2009184175391958
miR-28-3p	GDNF	0.05905582708211643
miR-28-3p	SERPINA3	0.18192860507046316
miR-28-3p	HSPB1	0.7283357444500016
miR-28-3p	HBEGF	0.3389586619316072
miR-28-3p	CCL13	0.10785139640013419
miR-28-3p	SRC	0.694838827568736
miR-28-3p	CST5	0.06811683257145607
miR-28-3p	CCL7	0.04403904079008303
miR-28-3p	CCL2	0.09519547649524629
miR-28-3p	LEP	0.10560942941634277
miR-223	PGLYRP2	0.14840027058615224
miR-223	IL6R	0.11304657446221178
miR-223	SELENOP	0.16919326242478228
miR-223	miR-191	1.3934889845423166
miR-223	TNFSF14	0.32620114365948716
miR-223	CXCL1	0.5398124557550572
miR-223	APOA4	0.15992522147592858
miR-223	MMP12	0.11328214594922237
miR-223	ITIH2	0.17098751708970106
miR-223	PLG	0.154048516614675
miR-223	miR-28-3p	1.2236618333599738
miR-223	miR-24	1.396169551281833
miR-223	XPNPEP2	0.04948322700477625
miR-378	CSF1	0.10685126195178718
miR-378	F13A1	0.17013292042990447
miR-378	MPO	0.08306983965405834
miR-378	IGHG3	0.11592134228433881
miR-378	IL12B	0.10563579149595981
miR-378	TNFRSF11B	0.05935705788750312
miR-378	AGER	0.04922894063480765
miR-378	miR-320	0.4774558467437524
miR-378	APOD	0.13077611303124037
miR-378	FASN	0.07111145604784763
miR-378	IL27	0.06630614196745288
miR-378	JCHAIN	0.10237723544378508
miR-378	CTSD	0.08740811590098385
miR-378	miR-150	0.38076460183432737
miR-378	miR-122	0.2431880366340886
miR-378	GDF15	0.08294355928000119
miR-378	IL18R1	0.050793005734809604
miR-126	miR-126*	0.9842787594054467
miR-126	C7	0.1753750886799299
miR-126	TGFB1	0.4161582516514386
miR-126	miR-27b	1.024349348545428
miR-126	GH1	0.07097599380471831
miR-126	HRG	0.1471176417955089
miR-126	GAL	0.11222771827897837
miR-126	PECAM1	0.3773512205419376
miR-126	miR-24	1.1419654852524435
miR-126	CCL19	0.1250938657852556
miR-126	miR-21	1.1472121412776142
miR-126	SERPIND1	0.18927699564811729
miR-126	CCL20	0.05686926969204986
miR-335	miR-146a	1.0940114934875078
miR-335	C6	0.13764921301767785
miR-335	CP	0.1273128457656929
miR-335	CXCL6	0.3877744608474254
miR-335	CTSL	0.10113187260429779
miR-335	DNER	0.07516947822594755
miR-335	IKBKG	0.5385981970756673
miR-335	MMP1	0.28636213354033035
miR-335	ITGB1BP2	0.618817929032752
miR-335	CD5L	0.13178189502844795
miR-335	CD40LG	0.7266130488933218
miR-197	C4BPA	0.14982701919475616
miR-197	AZGP1	0.15778988580107978
miR-197	HPR	0.16928085734921794
miR-197	SLAMF1	0.047822393618128345
miR-197	IL7	0.25837030582873677
miR-197	miR-24	1.107144213580626
miR-197	GSN	0.12118654224364978
miR-24	miR-223	1.396169551281833
miR-24	TNFSF10	0.05215634447184048
miR-24	miR-197	1.103188879914926
miR-24	miR-146a	1.2578442346704835
miR-24	miR-320	1.1600575644834796
miR-24	Total-IGHG	0.17825603764475417
miR-24	FGF23	0.05885363397912702
miR-24	CXCL10	0.12383499751601157
miR-24	SERPINA1	0.0802583138249604
miR-24	MMP3	0.06130526854828933
miR-24	AXIN1	0.6091418683390515
miR-24	MMP10	0.11626999606275845
miR-24	CDCP1	0.0632338762714193
miR-24	SAA4	0.1455933569423653
miR-24	CLEC3B	0.09877705624401933
miR-24	miR-126	1.1419654852524435
miR-122	FCN3	0.21948732420274197
miR-122	PLAT	0.1291067318635264
miR-122	FGF5	0.07142149471506709
miR-122	IGHG2	0.15180400120371296
miR-122	TNFSF11	0.09017283941558407
miR-122	FLT3LG	0.11194263419037309
miR-122	AZGP1	0.22511739600917835
miR-122	FBLN1	0.0998218095789829
miR-122	VTN	0.1962761300957485
miR-122	C6	0.1276978208540953
miR-122	APOB	0.22574289472264386
miR-122	IGHA2	0.18042821253791708
miR-122	FGF21	0.08623584783058913
miR-122	TNFSF12	0.08324664262683257
miR-122	FN1	0.10608650699647448
miR-122	SELE	0.1744200232317068
miR-122	IL6	0.08473368693189354
miR-122	FGF19	0.08216370382335025
miR-122	NGF	0.0645477967045398
miR-122	CHI3L1	0.09604900486556023
miR-122	C1QB	0.12842334434779357
miR-122	SELPLG	0.07583327639424198
miR-122	IL1RL1	0.09507755817600394
miR-122	APOL1	0.13516943903535505
miR-122	GSN	0.20627155427856092
miR-122	miR-378	0.24318803663408772
miR-122	APOC1	0.25507104455465335
miR-122	C1QC	0.219949692994998
miR-155	IGHG4	0.10750454663480724
miR-155	RNASE3	0.12721764626241416
miR-155	PRAP1	0.08016164120220814
miR-155	PGF	0.08301186591783516
miR-155	CFB	0.134554273813154
miR-155	VTN	0.15536979604422285
miR-155	MUC16	0.06904214669287256
miR-155	TF	0.10435690463106351
miR-155	MRS2	0.10372560658916097
miR-155	miR-92a	0.36491127202665563
miR-155	FGA	0.04673351030409023
miR-155	PLAUR	0.1287014748995583
miR-155	IL16	0.17934137757713842
miR-155	TNFRSF1A	0.07856733024144003
miR-155	LTA	0.1049474658204872
miR-155	CCL3	0.1446196922901164
miR-155	GC	0.11262117873861044
miR-155	ABCF1	0.1483316913051027
miR-155	ERVMER34-1	0.22264832105198895
miR-320	SPON1	0.057366391964491115
miR-320	miR-195	0.7533822806372061
miR-320	AMBP	0.1684987679871437
miR-320	TNFRSF9	0.12373365765157462
miR-320	CXCL5	0.4359803381793288
miR-320	miR-92a	0.9661261568816615
miR-320	MMP7	0.12052806547339312
miR-320	CSTB	0.1599902913054816
miR-320	miR-28-3p	1.1857242419416263
miR-320	miR-24	1.1486161186158448
miR-320	miR-378	0.4747970473079359
miR-320	FABP4	0.10346390465347532
miR-320	IL17C	0.0781342440153523
miR-320	KLKB1	0.11852330184558113
miR-150	CXCL16	0.06467608537888303
miR-150	NPPB	0.1410793434976645
miR-150	SERPINF2	0.18071945567156966
miR-150	PAPPA	0.052336764222998156
miR-150	SERPING1	0.16756351046455809
miR-150	FBLN1	0.11056097088924322
miR-150	KLK6	0.058011965135540855
miR-150	IGHA1	0.1131602006448631
miR-150	NT-pro-BNP	0.1437304995312294
miR-150	IGHM	0.15262668186556994
miR-150	U6	0.36942229333356025
miR-150	ORM1	0.14715187322823908
miR-150	CX3CL1	0.0679185761040264
miR-150	miR-92a	0.41239247565859216
miR-150	AHSG	0.09183543508586567
miR-150	ITIH1	0.190129643164358
miR-150	TTR	0.16565308714785143
miR-150	CCL23	0.18085553628409734
miR-150	miR-378	0.3666798289026847
miR-150	CD5	0.1333838002621004
miR-195	IL10	0.09154708769283637
miR-195	HBA1	0.3632359922423287
miR-195	TGFA	0.09753270419959037
miR-195	miR-320	0.7514658014398377
miR-195	EIF4EBP1	0.4363342578027902
miR-195	PSPHP1	0.15228414686789282
miR-195	OSM	0.06621087406713588
miR-21	miR-148a	0.8407028720837841
miR-21	HBE1	0.1263724260695751
miR-21	RBP4	0.17144473623382606
miR-21	CFH	0.2336679502011494
miR-21	miR-146a	1.0499584761859504
miR-21	SULT1A1	0.5857608024014311
miR-21	ADA	0.10389221146551364
miR-21	CD40	0.3908569178444452
miR-21	CXCL9	0.084616784567209
miR-21	SERPINA6	0.10593742942288564
miR-21	miR-126	1.1393543444004877
miR-21	KLK11	0.0598026433292107
miR-21	VEGFA	0.14815656792317977
miR-21	APOC2	0.12244041419947127
miR-21	CD244	0.22952669309599205
miR-92a	C5	0.18662112246487883
miR-92a	miR-320	0.9689357148169258
miR-92a	APOB	0.1648406355057599
miR-92a	CXCL8	0.12955580483994922
miR-92a	THRB	0.18261297731831938
miR-92a	HBD	0.17416587614465495
miR-92a	OLR1	0.17365602329116125
miR-92a	GPX3	0.12706930373609282
miR-92a	APOA1	0.11471965412501461
miR-92a	miR-155	0.3610603215235244
miR-92a	miR-150	0.3866788785710433
miR-92a	CPN2	0.13201333587758945
miR-92a	TEK	0.15793913955216343
miR-92a	IL17A	0.04850231027555907
miR-191	miR-223	1.3934889845423166
miR-191	SERPINF1	0.19695080678359478
miR-191	LIFR	0.1490554990633033
miR-191	C2	0.14879651826747686
miR-191	C3	0.21317349534284702
miR-191	APOM	0.13726508612542432
miR-191	TNFRSF10B	0.11336090238735341
miR-191	ALB	0.188118781588396
miR-191	ADM	0.08495067613732221
miR-191	ORM2	0.1428245444701668
miR-191	APOA2	0.15737766188963942
miR-191	TNFRSF1B	0.08725504749253243
miR-191	CCL11	0.09828050741670769
miR-191	C1S	0.17845216204570757
miR-191	STOM	0.1928161022635395
miR-191	KITLG	0.07533042955079772
miR-191	PF4	0.7334915536458313
