Regulator	Target	MI
miR-126*	C4BPA	0.08215709544521221
miR-126*	IGHG1	0.10636312460882635
miR-126*	IGHG2	0.06719745024636747
miR-126*	HBE1	0.07849659215385163
miR-126*	APOA1	0.17477300277887498
miR-126*	NGF	0.08860844306682658
miR-126*	SERPING1	0.12076017999461541
miR-126*	miR-126	1.082108186039834
miR-126*	CCL8	0.16134291880360507
miR-126*	IGHA1	0.07465511213543952
miR-223*	PGLYRP2	0.11398464672442543
miR-223*	TNFSF10	0.06606190819845459
miR-223*	RNASE3	0.09803619718706535
miR-223*	miR-28-3p	0.7430936403163075
miR-223*	IL1RL1	0.057308847861318846
miR-223*	IGHA2	0.1408106989592408
miR-223*	TNFRSF10B	0.10567401842137336
miR-223*	AGT	0.16038440613034943
miR-146a	CD40	0.3417600962516083
miR-146a	CSF1	0.0724222775684753
miR-146a	CCL4L1	0.06821219350481922
miR-146a	HSPB1	0.6707751740563941
miR-146a	CXCL5	0.44490422967758736
miR-146a	THBD	0.09995894495824675
miR-146a	CASP8	0.5499694696938819
miR-146a	CTSD	0.07931034946042725
miR-146a	F2R	0.48175861616490145
miR-146a	SIRT2	0.7708098600907691
miR-146a	LTA	0.10049521834676689
miR-146a	PECAM1	0.2997378239046764
miR-146a	HBEGF	0.32208179757225697
miR-146a	CCL13	0.10788771652085671
miR-146a	CFH	0.11937072608917809
miR-146a	miR-24	1.2361732004351111
miR-146a	ERVMER34-1	0.19970272332466
miR-146a	TGFB1	0.37392854556637456
miR-146a	TNFSF14	0.33243717380491145
miR-146a	EGF	0.6037749180251213
miR-146a	miR-335	1.070705017241476
miR-27b	NT-pro-BNP	0.11051470455530943
miR-27b	SPON1	0.045588976003019255
miR-27b	ORM2	0.06954103271682133
miR-27b	JCHAIN	0.09635791088318424
miR-27b	DNER	0.055669869195830834
miR-27b	MBL2	0.12213978326584041
miR-27b	FGG	0.061994969106880404
miR-27b	APOA4	0.14076255489661182
miR-27b	TIMELESS	0.0829727105033724
miR-27b	LPA	0.09050250847497576
miR-27b	CLEC3B	0.1192715179290369
miR-27b	miR-21	0.9352590385876312
miR-27b	APOB	0.0847064849689172
miR-27b	APOL1	0.10977852401131827
miR-27b	PSPHP1	0.07750007645341306
miR-27b	CD6	0.05931733515933946
miR-27b	IL7	0.2825138302302683
miR-148a	PRL	0.05565844753180027
miR-148a	PGF	0.24334099331510384
miR-148a	CSTB	0.14092781039929658
miR-148a	SELPLG	0.0943362045646392
miR-148a	AFM	0.15284863334107168
miR-148a	CCL3	0.07018593182699018
miR-148a	miR-21	0.7736280091893288
miR-148a	GDF15	0.0984177285418113
miR-28-3p	miR-223*	0.7451801258313866
miR-28-3p	miR-223	1.3195570513104364
miR-28-3p	IGHG4	0.07425887644187323
miR-28-3p	AHSG	0.059827836212024366
miR-28-3p	PLAUR	0.08461350884417485
miR-28-3p	miR-197	1.0773574046102254
miR-28-3p	SULT1A1	0.526863310438773
miR-28-3p	CP	0.12974643019015897
miR-28-3p	VEGFA	0.12974552759428448
miR-28-3p	miR-378	0.3915696819332668
miR-28-3p	PF4	0.5986215304286606
miR-223	miR-191	1.3672263090955639
miR-223	CD274	0.55405417948037
miR-223	miR-28-3p	1.3282015322053695
miR-223	miR-24	1.3535438489892488
miR-223	CCL23	0.052303185063993674
miR-223	CXCL10	0.06820307512015411
miR-378	SERPINA1	0.07593597441401112
miR-378	CFB	0.14735786457425526
miR-378	A1BG	0.13263824537068203
miR-378	miR-28-3p	0.4007968117493306
miR-378	C3	0.11008855728310696
miR-378	miR-122	0.283027439915573
miR-378	SELE	0.09661290611703244
miR-378	FASN	0.0444775277012992
miR-378	ADA	0.07368726598948694
miR-378	IL18R1	0.10486554709272955
miR-126	miR-126*	1.082883790785523
miR-126	CXCL6	0.2737472519122681
miR-126	ORM1	0.13401251347653176
miR-126	ADM	0.04349272990613251
miR-126	CXCL1	0.4283110445567164
miR-126	C8A	0.07885580466387676
miR-126	APOA2	0.07200449765311401
miR-126	SELENOP	0.08604823748256507
miR-126	CFI	0.18115666701751376
miR-126	APOM	0.12701223653109484
miR-126	C6	0.10517209142150907
miR-126	miR-24	1.2293005353133655
miR-126	miR-21	1.2044805701231835
miR-126	SERPIND1	0.1278665443930933
miR-126	BDNF	0.06750151178963204
miR-126	TNFSF12	0.07310440857419831
miR-126	XPNPEP2	0.07855417600664794
miR-335	IGHM	0.06200374647735174
miR-335	U6	0.17821502953898705
miR-335	IKBKG	0.499665300830606
miR-335	HGF	0.08380312856169425
miR-335	SERPINF2	0.1434230244940693
miR-335	FLT3LG	0.04648627870282507
miR-335	PAPPA	0.055613932258290255
miR-335	ITGB1BP2	0.5537326978722286
miR-335	SRC	0.7133219430988547
miR-335	miR-146a	1.070705017241477
miR-335	PLG	0.050743893232248816
miR-335	C2	0.0808752815451621
miR-335	STOM	0.26689550005337814
miR-335	ABCF1	0.13648500560746157
miR-335	CD40LG	0.6557152710627561
miR-335	FABP4	0.06082396825304137
miR-335	ARTN	0.06551831855569024
miR-197	RBP4	0.05950699972309703
miR-197	GAL	0.14653934996815288
miR-197	miR-155	0.3575173640825424
miR-197	miR-28-3p	1.0714330697336436
miR-197	APOE	0.10822061782660075
miR-197	AMBP	0.11805284225284662
miR-197	APOC3	0.13166664649943272
miR-197	LRG1	0.1466021201956762
miR-197	CD5	0.048251291813606656
miR-197	FGF19	0.10612628880029096
miR-197	SHBG	0.10335839853511875
miR-24	THRB	0.09803273281320468
miR-24	F13A1	0.13117464386592292
miR-24	NPPB	0.1271464993789122
miR-24	miR-223	1.353543848989248
miR-24	MB	0.0519212492726524
miR-24	OLR1	0.09873696908667018
miR-24	MMP3	0.11895640445118083
miR-24	AXIN1	0.6389925448397804
miR-24	DKK1	0.3106165288371239
miR-24	C1R	0.16403511380922264
miR-24	miR-146a	1.236173200435112
miR-24	miR-126	1.24627949079757
miR-24	APOD	0.10920146521981877
miR-24	CCL25	0.07746174934471561
miR-24	GH1	0.08309970816718248
miR-122	CXCL9	0.051716155783127604
miR-122	FCN3	0.11600422613255645
miR-122	CXCL1	0.0606232574730301
miR-122	PLAT	0.16156890166289362
miR-122	FGF5	0.11713656101389613
miR-122	IGHG3	0.0665974755685701
miR-122	NPPB	0.114923367873903
miR-122	ESM1	0.10435549167999802
miR-122	IGHG2	0.06651337966581217
miR-122	IL6R	0.049731080245867254
miR-122	IL1R1	0.10312916927716742
miR-122	HGF	0.04972153843379701
miR-122	AZGP1	0.05800371470629884
miR-122	CDCP1	0.04778858164758404
miR-122	TIMELESS	0.0652032603382322
miR-122	AFM	0.16322224264210927
miR-122	FBLN1	0.10417974876817837
miR-122	PLG	0.06693063331396143
miR-122	KLK6	0.06251658537150195
miR-122	VTN	0.1501090045886997
miR-122	CCL7	0.05226554836940167
miR-122	S100A12	0.07612719570581383
miR-122	APOD	0.10292408105969919
miR-122	FGF21	0.08625025579194467
miR-122	IL10RB	0.04781276033609405
miR-122	TNFSF12	0.0896191570130771
miR-122	miR-378	0.28931170575969656
miR-122	IL6	0.05584621771334142
miR-122	TF	0.09154792502425302
miR-122	ALB	0.07811260378200924
miR-122	CCL28	0.12426234683480608
miR-155	U6	0.36148634465463747
miR-155	FCN3	0.07168326621781951
miR-155	GPX3	0.1272190925303489
miR-155	SERPINF1	0.07845134900168205
miR-155	IL16	0.06644054054106618
miR-155	LIFR	0.08718428899694697
miR-155	TNFRSF1B	0.09045484197326825
miR-155	PRAP1	0.05082732147568958
miR-155	TNFRSF1A	0.06571444801701976
miR-155	miR-197	0.3656291617856384
miR-155	miR-150	0.355033519697022
miR-155	C1S	0.1554132170204241
miR-155	CFI	0.11873685484470364
miR-155	HPR	0.06956699284093393
miR-155	ITIH1	0.084223458504046
miR-155	CPN2	0.13874274670230413
miR-155	APOM	0.11553753797507138
miR-155	TTR	0.1346451955857999
miR-155	FGF23	0.049525098509899834
miR-155	CMA1	0.09803994773062197
miR-155	GDNF	0.05863864138469577
miR-155	HRG	0.06217441831866477
miR-320	miR-92a	0.91208425731344
miR-320	miR-191	1.101026589185147
miR-320	ITIH4	0.130616589413175
miR-150	U6	0.45461152939469507
miR-150	miR-223*	0.3261008085434325
miR-150	F13A1	0.11505841547509643
miR-150	C4BPA	0.08997267053316715
miR-150	IL27	0.10739581348533367
miR-150	CLU	0.05391283231351274
miR-150	CX3CL1	0.0652615505501446
miR-150	CXCL16	0.06115478968731214
miR-150	miR-92a	0.2849039144372707
miR-150	IL10	0.08931769676913426
miR-150	FGA	0.1893948977972011
miR-150	miR-155	0.35351552161760846
miR-150	FN1	0.1619261269071588
miR-150	VEGFD	0.048013432251680754
miR-195	CXCL9	0.10299543888157014
miR-195	HBD	0.16261519450679796
miR-195	SERPINA6	0.12702369849598405
miR-195	SERPINA7	0.11202380617716656
miR-195	IGHG3	0.09299446614239226
miR-195	ESM1	0.1050980354929898
miR-195	miR-92a	0.6772916930643937
miR-195	IL1R1	0.06440053029532766
miR-195	HBA1	0.34422831179709323
miR-195	AZGP1	0.14787709797493154
miR-195	miR-126	0.6478774566267624
miR-195	GC	0.14467541503056935
miR-195	APOC1	0.10402447742190457
miR-195	C1QC	0.09734874752371336
miR-21	SERPINA3	0.10616048107360321
miR-21	miR-148a	0.786144832803247
miR-21	MMP1	0.25299326169257785
miR-21	MMP10	0.0955861593647116
miR-21	TNFRSF11B	0.04884516429857122
miR-21	miR-126	1.1999070483260201
miR-21	TTR	0.13565947511808574
miR-21	C7	0.08849498320756144
miR-21	CCL4	0.08169792101567541
miR-21	miR-27b	0.9352590385876312
miR-92a	miR-150	0.2846971699816452
miR-92a	miR-195	0.677291693064392
miR-92a	ITIH2	0.08844001007098257
miR-92a	C5	0.21167939779298095
miR-92a	APOH	0.09730870972326766
miR-92a	miR-320	0.919145336753493
miR-92a	Total-IGHG	0.10907128723913306
miR-92a	CCL2	0.0740918521474283
miR-92a	TNFRSF9	0.06408882634325597
miR-92a	KLKB1	0.12788380929790577
miR-191	MRS2	0.13419491015086038
miR-191	CXCL8	0.14155703657517815
miR-191	SLC4A1	0.10918034653474251
miR-191	miR-223	1.367226309095563
miR-191	STAMBP	0.6213376572069613
miR-191	C1QB	0.07387502157588521
miR-191	CD5L	0.10937968761687955
miR-191	FBLN1	0.10265270460479581
miR-191	VTN	0.11350661685253183
miR-191	miR-320	1.1145887123442142
miR-191	EIF4EBP1	0.3949559920318464
miR-191	CXCL11	0.13143678598910213
miR-191	ALB	0.10608244128696231
miR-191	IL17C	0.09467249199307304
miR-191	CD244	0.16899199377175123
