Regulator	Target	MI
miR-126*	SELENOP	0.14951879284321556
miR-126*	C7	0.10632761535265445
miR-126*	S100A12	0.06286742741997653
miR-126*	TNFSF14	0.2766707674065474
miR-126*	TNFSF12	0.058035872117159215
miR-126*	miR-335	0.9190591979016682
miR-126*	MRS2	0.11557784310071906
miR-126*	AHSG	0.05773222141897971
miR-126*	APOA2	0.11705266247163859
miR-126*	miR-126	0.9980565656431555
miR-126*	CCL3	0.10149376182067549
miR-126*	CCL25	0.05829975748407534
miR-126*	ERVMER34-1	0.1193536433630209
miR-223*	C4BPA	0.11109015098707253
miR-223*	HBE1	0.12966841545777275
miR-223*	miR-197	0.7196372113354279
miR-223*	miR-155	0.38949256692660494
miR-223*	AGER	0.1046068810628924
miR-223*	SERPIND1	0.10437551090232855
miR-223*	OSM	0.07021708068550314
miR-223*	HRG	0.0853350806765043
miR-223*	ADA	0.07700253572884552
miR-146a	HSPB1	0.742640204747846
miR-146a	MPO	0.11509438675886319
miR-146a	IKBKG	0.6107292312942887
miR-146a	IL15RA	0.07908762167043193
miR-146a	PRAP1	0.07635514527285103
miR-146a	SIRT2	0.8009176316851558
miR-146a	LPA	0.17105253801202114
miR-146a	HBEGF	0.35394909625126747
miR-146a	SULT1A1	0.522021188047356
miR-146a	miR-24	1.2154316786633546
miR-146a	EGF	0.624544786647383
miR-146a	miR-335	1.1744160078346049
miR-146a	APOC2	0.06058812885426512
miR-27b	SPON1	0.0733142706932366
miR-27b	miR-148a	0.7510807995142068
miR-27b	LIFR	0.08041957045659665
miR-27b	CFI	0.11499706737356696
miR-27b	IL20RA	0.04713062883086838
miR-27b	FBLN1	0.09153469309898021
miR-27b	APOH	0.12903886242759732
miR-27b	IGHA1	0.1005184361839806
miR-27b	miR-335	0.9187880867057183
miR-27b	ORM2	0.1247339025938583
miR-27b	JCHAIN	0.11513751127381155
miR-27b	CASP8	0.4870359701442215
miR-27b	MBL2	0.08796417015549096
miR-27b	IL16	0.06023516647436278
miR-27b	CSTB	0.09877278962037828
miR-27b	CLEC3B	0.09637024808761385
miR-27b	miR-21	1.011230136785806
miR-148a	IGHM	0.1042292557643334
miR-148a	CFH	0.09869910438797991
miR-148a	PLG	0.12822045322561948
miR-148a	miR-21	0.7571497877867825
miR-148a	ABCF1	0.10998842225124683
miR-148a	miR-27b	0.7577093967489308
miR-148a	LRG1	0.0933163037574225
miR-28-3p	CLU	0.13079581870650347
miR-28-3p	miR-223	1.2796693581203167
miR-28-3p	CST5	0.06161618323124163
miR-28-3p	miR-320	1.0638415894039186
miR-28-3p	GSN	0.14339703995302244
miR-223	miR-223*	0.6839694858625149
miR-223	CXCL1	0.5039593397951583
miR-223	CXCL5	0.41712411238535907
miR-223	IGHG2	0.12002876770764015
miR-223	AZGP1	0.1832226571512967
miR-223	miR-191	1.5391848079499368
miR-223	miR-28-3p	1.2784241370537073
miR-223	IL1RL1	0.06830405164263276
miR-223	C5	0.09629132499070092
miR-223	miR-24	1.4683107816022085
miR-223	CCL20	0.04995673874732631
miR-223	LEP	0.08359026397933089
miR-378	F13A1	0.1023455051610993
miR-378	SERPINF2	0.11757242065750617
miR-378	RBP4	0.11131882606400101
miR-378	miR-197	0.3657630456803691
miR-378	TIMELESS	0.09870381785245907
miR-378	CFB	0.12020278048850042
miR-378	A1BG	0.13836314865160038
miR-378	IGHA2	0.14637025019210625
miR-378	TF	0.12290355107393935
miR-378	FGF19	0.05569945609354576
miR-378	CXCL9	0.07185093916975749
miR-378	ORM1	0.15020631816753305
miR-378	PRL	0.053639812380041896
miR-378	THBD	0.06639921996133946
miR-378	CDCP1	0.06115448412320745
miR-378	SERPINC1	0.10938244016924781
miR-378	ITIH1	0.08549932007340644
miR-378	miR-122	0.2563501255873115
miR-126	miR-126*	1.0136592462425318
miR-126	TNFSF10	0.08554913717919721
miR-126	IL12B	0.05759017199442873
miR-126	SERPING1	0.12143480130400963
miR-126	miR-195	0.7014148124894719
miR-126	C3	0.089111124734087
miR-126	APOM	0.13223143645577018
miR-126	FN1	0.10802906585531069
miR-126	IL7	0.33848747568429616
miR-126	C8A	0.08745465921322548
miR-126	CTSL	0.08202598418026952
miR-126	NGF	0.07158110884592794
miR-126	CCL11	0.08246504720918857
miR-126	miR-24	1.2898725608358719
miR-126	miR-21	1.019629598958562
miR-335	miR-126*	0.9223179671905557
miR-335	CD40	0.4065935924059456
miR-335	MMP12	0.048309013965088354
miR-335	PECAM1	0.3163244334936799
miR-335	SRC	0.8042981448465509
miR-335	miR-146a	1.1665582109574792
miR-335	KLK6	0.04858837982941022
miR-335	CCL8	0.15573483177812353
miR-335	STOM	0.2432601806437722
miR-335	PSPHP1	0.09335216292576387
miR-335	miR-27b	0.913339518085766
miR-335	IL6	0.06275115571576251
miR-335	CD40LG	0.6635764768740335
miR-335	IL18R1	0.09114341419347927
miR-335	PF4	0.6721714711076574
miR-197	IGHG1	0.11873130139619548
miR-197	GAL	0.06539237193672065
miR-197	miR-150	0.37024949369412496
miR-197	miR-191	1.062736779999736
miR-197	CCL13	0.09891949646386866
miR-197	CD5L	0.1661704123867196
miR-197	SAA4	0.11924329043405368
miR-197	GDF15	0.08262495376916856
miR-197	miR-378	0.358506975492336
miR-197	TEK	0.061853022683693304
miR-24	miR-223	1.4653679176302692
miR-24	F2R	0.5104606452669174
miR-24	AXIN1	0.6285595343462029
miR-24	CHI3L1	0.05044778612190104
miR-24	ITGB1BP2	0.5491546838362531
miR-24	CD274	0.587124249851124
miR-24	ITIH2	0.1133352971367163
miR-24	SELPLG	0.06051650123553909
miR-24	C1R	0.07828152556264101
miR-24	miR-146a	1.2154316786633546
miR-24	RETN	0.0737726859415977
miR-24	CPN2	0.08025612035690077
miR-24	miR-126	1.2898725608358719
miR-24	VEGFA	0.16145225062021584
miR-24	CXCL11	0.14673287754118114
