Regulator	Target	MI
miR-126*	F13A1	0.1248307889524698
miR-126*	TNFSF10	0.0693945630473971
miR-126*	PSPHP1	0.12188278101150107
miR-126*	FGF19	0.06118872241879636
miR-126*	ALB	0.1325660648545206
miR-126*	PRL	0.11829982063873601
miR-126*	CX3CL1	0.08343392637269709
miR-126*	C1R	0.14961509450666988
miR-126*	miR-126	1.0637808639897681
miR-126*	CCL25	0.05469881982629854
miR-126*	APOC3	0.11685291636989525
miR-126*	VEGFA	0.20477728996855316
miR-223*	THRB	0.12597424813227676
miR-223*	CSF1	0.09352002226742151
miR-223*	miR-223	0.6861340971098224
miR-223*	miR-150	0.3510689355078833
miR-223*	SELPLG	0.07374612742847919
miR-223*	AFM	0.13400419471432734
miR-223*	RETN	0.13189199506943527
miR-223*	KNG1	0.07223474783076966
miR-223*	SLAMF1	0.07570347381666931
miR-223*	AMBP	0.1853807972757382
miR-223*	OSM	0.09826936514506812
miR-223*	SELE	0.08977413801525902
miR-223*	FASN	0.08788466654829907
miR-223*	HRG	0.12243104964737128
miR-223*	CCL28	0.12043560387580943
miR-146a	PGLYRP2	0.18004383143062253
miR-146a	C4BPA	0.16809997984030556
miR-146a	IGHG3	0.10225703847241441
miR-146a	F2R	0.48418743744682224
miR-146a	C2	0.12286628235510832
miR-146a	SULT1A1	0.5466216403085271
miR-146a	APOH	0.07872383552721018
miR-146a	miR-320	1.1218251558906491
miR-146a	CXCL10	0.09169020957376173
miR-146a	miR-335	1.1060285303608657
miR-146a	HSPB1	0.685829818129184
miR-146a	ORM2	0.13079974293049457
miR-146a	SERPINA7	0.11420804952367902
miR-146a	CXCL5	0.441888282819229
miR-146a	CASP8	0.46655521307812187
miR-146a	IKBKG	0.5311147710699018
miR-146a	CTSD	0.11277135241276248
miR-146a	MBL2	0.1127639884973588
miR-146a	GPX3	0.11346231763138448
miR-146a	IFNG	0.0517762052443107
miR-146a	CCL13	0.15155888729153233
miR-146a	C1S	0.14963614444189144
miR-146a	SRC	0.7886635946602985
miR-146a	miR-28-3p	1.2203424815178714
miR-146a	EGF	0.6269371752194486
miR-146a	CD40LG	0.8216700808503612
miR-27b	IGHM	0.15237532047340707
miR-27b	THBD	0.0514273035583086
miR-27b	ESM1	0.06211894981246768
miR-27b	PLAUR	0.07577760099299091
miR-27b	IL16	0.08971544546121724
miR-27b	LIFR	0.1139216662465703
miR-27b	DKK1	0.3468349863563178
miR-27b	FBLN1	0.07744525999231122
miR-27b	CLEC3B	0.1313601081566791
miR-27b	CCL2	0.0701041673504017
miR-27b	miR-21	0.9199480520336838
miR-27b	IL7	0.30794899359886685
miR-27b	APOC2	0.11911081186266959
miR-27b	AGRP	0.0923126362025748
miR-148a	MRS2	0.07898981611330225
miR-148a	SERPINA1	0.16559220942924124
miR-148a	SERPINA6	0.15186344398595875
miR-148a	FGG	0.08027527450095384
miR-148a	CFH	0.13091309016775288
miR-148a	miR-21	0.7481880568037331
miR-148a	BDNF	0.10480834893507485
miR-148a	IL10RA	0.05949818951357155
miR-28-3p	SLC4A1	0.09572205634558806
miR-28-3p	miR-223	1.3168511616449212
miR-28-3p	miR-146a	1.2124846846407458
miR-28-3p	TGFB1	0.35187338530731704
miR-28-3p	CXCL6	0.29864579070587105
miR-28-3p	ADM	0.09456399380920821
miR-28-3p	MMP1	0.19264013439421035
miR-28-3p	APOA2	0.12503079453659094
miR-28-3p	GSN	0.08656243540918407
miR-28-3p	CMA1	0.09316030856309077
miR-223	miR-223*	0.6852843462210938
miR-223	IGHG4	0.08874760035258866
miR-223	IL12B	0.08503046595269481
miR-223	miR-197	1.0838932146056628
miR-223	STAMBP	0.6992551516585248
miR-223	miR-191	1.4846113424406289
miR-223	TGFA	0.04787607439888486
miR-223	APOB	0.11105169985170704
miR-223	IGHA2	0.16618567015999286
miR-223	TNFRSF9	0.12378547227945358
miR-223	CXCL1	0.4944030844335998
miR-223	AXIN1	0.5490221848751267
miR-223	SIRT2	0.8017141314649603
miR-223	CPN2	0.16157001507804658
miR-223	miR-28-3p	1.3313204922011552
miR-223	miR-126	1.2433284660689496
miR-223	miR-24	1.458376178143074
miR-223	AGT	0.10471091727998072
miR-223	PF4	0.6706402144003372
miR-378	PLAT	0.12248248817779217
miR-378	SERPINF1	0.10561540043515016
miR-378	SERPINF2	0.09369855872576593
