Regulator	Target	MI
miR-126*	CLU	0.12119286141830177
miR-126*	IGHG1	0.10756426748851755
miR-126*	MBL2	0.10873504903085252
miR-126*	MMP10	0.10796697764008911
miR-126*	MMP12	0.05335992666523648
miR-126*	ITIH4	0.11225608594279102
miR-126*	miR-24	1.0979704251996294
miR-126*	CCL2	0.050927414406555904
miR-126*	APOC3	0.11186846356020119
miR-126*	AGT	0.12978598481026626
miR-126*	GDNF	0.07922757108363676
miR-126*	XPNPEP2	0.06915704705600678
miR-126*	FASN	0.07580069563967573
miR-126*	HRG	0.08833509761900249
miR-223*	PLAUR	0.10128785179920552
miR-223*	TNFRSF1B	0.07704494964348108
miR-223*	TNFRSF1A	0.12358288446845034
miR-223*	miR-150	0.3284732465349194
miR-223*	SAA4	0.1353889982253378
miR-223*	AFM	0.10894763957277309
miR-223*	RETN	0.1316009532353597
miR-223*	miR-28-3p	0.7209148683489541
miR-223*	VTN	0.10899115100086387
miR-223*	IGHA2	0.11830265885600166
miR-223*	CCL20	0.06931565950089791
miR-223*	CXCL10	0.061267254132884474
miR-223*	LRG1	0.09288842658052587
miR-223*	AGRP	0.053891750731424715
miR-146a	CXCL6	0.31486306602262193
miR-146a	SERPINA3	0.15760541965422714
miR-146a	CD40	0.39006262583462536
miR-146a	ORM1	0.05929526344171698
miR-146a	PRL	0.056204988171885795
miR-146a	miR-148a	0.7531149485696442
miR-146a	THBD	0.1333685546301755
miR-146a	IKBKG	0.4794063350896183
miR-146a	FGA	0.14973158995579894
miR-146a	APOA2	0.04348273567144556
miR-146a	STAMBP	0.6477394321905177
miR-146a	HBEGF	0.33718570036799544
miR-146a	CD274	0.7023846372993274
miR-146a	SRC	0.6956375109001858
miR-146a	miR-24	1.4757293634127109
miR-146a	FGF21	0.10848085948406894
miR-146a	TNFSF14	0.27952492344265956
miR-146a	EGF	0.6484543911659744
miR-146a	miR-27b	0.9774431090115021
miR-146a	miR-335	1.1134861093845352
miR-146a	CD40LG	0.6548057997101653
miR-27b	ORM2	0.12027708013093452
miR-27b	MB	0.11867641468727363
miR-27b	DNER	0.09279784855762863
miR-27b	PRAP1	0.08206608858334974
miR-27b	miR-146a	0.9676020474019253
miR-27b	TTR	0.09354605094159663
miR-27b	miR-21	1.010643080944007
miR-27b	GC	0.12893325833017855
miR-148a	JCHAIN	0.06114145537151572
miR-148a	CTSD	0.1141452560014784
miR-148a	SERPING1	0.14635853605514537
miR-148a	CD5L	0.05860964874892893
miR-148a	Total-IGHG	0.13222346593404755
miR-28-3p	miR-223*	0.7090661985957922
miR-28-3p	F13A1	0.10764924079873861
miR-28-3p	miR-223	1.3602510451472813
miR-28-3p	CASP8	0.49992084836730744
miR-28-3p	IGHG2	0.07572020320814499
miR-28-3p	IL12B	0.04968689580091645
miR-28-3p	IL1R1	0.04477273203682319
miR-28-3p	RBP4	0.1062133361032016
miR-28-3p	CCL4	0.0891469650874317
miR-28-3p	VEGFA	0.1245182943481069
miR-223	NT-pro-BNP	0.04567057284251863
miR-223	THRB	0.05584800788158795
miR-223	CSF1	0.06173354905377071
miR-223	CXCL1	0.5476413756145133
miR-223	C8A	0.10271653699593752
miR-223	CXCL5	0.4610829131939207
miR-223	MMP3	0.056499408234283344
miR-223	SIRT2	0.8034123573829222
miR-223	miR-191	1.455079248273604
miR-223	AGER	0.06617346904248578
miR-223	miR-28-3p	1.2884825770954276
miR-223	miR-24	1.3647203031853632
miR-223	miR-320	1.1534096376159377
miR-223	TGFB1	0.4789781916743383
miR-223	ADA	0.12205791435835955
miR-378	CXCL8	0.06474433904234278
miR-378	CCL4L1	0.08230738517425795
miR-378	PGF	0.047609020435776195
miR-378	miR-195	0.42631603381182437
miR-378	CCL7	0.0598176533930328
miR-378	miR-122	0.3595809038160249
miR-378	CCL19	0.06598086269979486
miR-378	SLAMF1	0.0635189976232855
miR-378	GDF15	0.06635011816563718
miR-378	VEGFD	0.07746298352722292
miR-378	SELE	0.07575376946931467
miR-378	CD6	0.05071911097680193
miR-378	FGF19	0.07739934162873219
miR-378	ADA	0.13260266635123052
miR-126	MRS2	0.05885251284851645
miR-126	FCN3	0.07597722657073991
miR-126	SERPINA1	0.14191756873850814
miR-126	HSPB1	0.65765822000201
miR-126	APOA1	0.13128878756668083
miR-126	CFI	0.13407891425991725
miR-126	SULT1A1	0.5385848743860233
miR-126	CCL8	0.22497502863189833
miR-126	miR-24	1.260047768874614
miR-126	APOH	0.07876312901191973
miR-126	miR-21	0.9747187693341237
miR-126	BDNF	0.04425596428538903
miR-126	ALB	0.11205178664216042
miR-335	OLR1	0.11493698856319412
miR-335	SERPINF1	0.09225490221145893
miR-335	HBE1	0.0728591564339407
miR-335	NGF	0.0526207399194476
miR-335	DKK1	0.3630046535265592
miR-335	PAPPA	0.05047547316441392
miR-335	PECAM1	0.3158898092598541
miR-335	C1QB	0.08274340197904717
miR-335	C1R	0.08437437744334453
miR-335	miR-146a	1.1134861093845352
miR-335	CPN2	0.14046398875033095
miR-335	C6	0.13354509856756192
miR-335	ABCF1	0.1156668232486977
miR-335	PF4	0.5757334924664903
miR-197	MMP1	0.19189404913279162
miR-197	AZGP1	0.19746730328273365
miR-197	GAL	0.09102314238771037
miR-197	miR-191	1.0224335989122473
miR-197	ITIH2	0.056314854496739564
miR-197	A1BG	0.1267385430306467
miR-197	C5	0.08454684090879994
miR-197	STOM	0.2223815900599666
miR-197	APOD	0.14353796404728847
miR-197	CMA1	0.07549390242839582
miR-197	TF	0.054290762835168316
miR-197	KLKB1	0.06756274853660837
miR-24	miR-126*	1.0924432807893112
miR-24	miR-223	1.3710300748205606
miR-24	F2R	0.4549453581955305
miR-24	CHI3L1	0.08116404712626757
miR-24	ITGB1BP2	0.5297956925257745
miR-24	miR-146a	1.4211938771016968
miR-24	miR-126	1.2600477688746148
miR-24	ERVMER34-1	0.13155847319440994
miR-24	AMBP	0.12147223627894732
miR-24	PSPHP1	0.12249345346531548
miR-24	CP	0.07051890076480216
miR-24	CD5	0.06491266464507284
miR-24	CCL28	0.07339853652052852
miR-122	NT-pro-BNP	0.05823819580389333
miR-122	CXCL9	0.10297912879842652
miR-122	FCN3	0.09784271650451704
miR-122	THRB	0.10390326464739452
miR-122	PLAT	0.1068502872310022
miR-122	C8A	0.08682525725140877
miR-122	CX3CL1	0.11937311305030995
miR-122	FGF5	0.0457437211680265
miR-122	NPPB	0.04865046590113398
miR-122	IGHG4	0.13525619590727
miR-122	IL6R	0.05488627857787076
miR-122	IL10	0.07017112402534043
miR-122	AHSG	0.07579872148192024
miR-122	SERPINF2	0.05704656607524683
miR-122	APOA4	0.10207475159831603
miR-122	LIFR	0.0877409492365322
miR-122	TNFRSF1A	0.06593378240066183
miR-122	LTA	0.052892673535103185
miR-122	LPA	0.05687028157617657
miR-122	CSTB	0.12184796163666789
miR-122	SELPLG	0.062081927508589985
miR-122	CFH	0.11376224338119734
miR-122	AFM	0.16213461245097083
miR-122	AGER	0.06414741124471135
miR-122	CST5	0.06576144086265678
miR-122	KLK6	0.06558086620641745
miR-122	IL1RL1	0.06404402195641357
miR-122	VTN	0.14157481708322717
miR-122	C5	0.1413829910069193
miR-122	APOM	0.05756574076256271
miR-122	IGHA2	0.10069947081390396
miR-122	CCL23	0.06266286171551805
miR-122	TNFSF12	0.12599322267966162
