Regulator	Target	MI
miR-126*	IGHG3	0.18918872714482493
miR-126*	AZGP1	0.12266121518829376
miR-126*	TGFA	0.10834956459012979
miR-126*	AGER	0.06390625130589811
miR-126*	C5	0.14040631216213217
miR-126*	APOM	0.1482862148664008
miR-126*	MUC16	0.07084962925048188
miR-126*	FASN	0.12766868157313294
miR-126*	ALB	0.13812245734284723
miR-126*	ORM1	0.06298062584166786
miR-126*	IL10	0.1354137618227087
miR-126*	FGA	0.09123096876086922
miR-126*	miR-126	1.0459131804161368
miR-126*	CCL8	0.10730588352911585
miR-126*	ABCF1	0.14573149941369312
miR-126*	APOC3	0.1101649557722677
miR-126*	VEGFD	0.05367377987069766
miR-126*	XPNPEP2	0.058372415197953664
miR-223*	SELENOP	0.12530272224620553
miR-223*	miR-191	0.7750179149787098
miR-223*	C3	0.0831138844826782
miR-223*	VTN	0.26726674415884943
miR-223*	IGHA1	0.12128851335150959
miR-223*	GH1	0.10613762260459136
miR-223*	JCHAIN	0.09129317076982257
miR-223*	miR-150	0.31538694016876967
miR-223*	ITIH2	0.12739230441736726
miR-223*	CST5	0.06795966962184252
miR-223*	SERPIND1	0.16836565681958504
miR-223*	KLKB1	0.09984894314722847
miR-146a	CLU	0.1608370311788354
miR-146a	IGHG4	0.11777488892386057
miR-146a	F2R	0.42858275041304683
miR-146a	STAMBP	0.6854534864157982
miR-146a	LPA	0.18905374133547248
miR-146a	CD274	0.5840010785818981
miR-146a	TF	0.0959002290900024
miR-146a	miR-335	1.2233552929459783
miR-146a	IL7	0.2508344037643244
miR-146a	C8A	0.09117712597473915
miR-146a	SERPINA7	0.16025414868655208
miR-146a	CXCL5	0.41105792079292414
miR-146a	CASP8	0.46769098163284717
miR-146a	OLR1	0.1490088574877788
miR-146a	GPX3	0.1568378876268266
miR-146a	AXIN1	0.5969404700453351
miR-146a	APOA1	0.14209281328969237
miR-146a	SIRT2	0.8501297704122202
miR-146a	CDCP1	0.09249088303725461
miR-146a	PECAM1	0.4162786582043987
miR-146a	ITGB1BP2	0.47779239818056674
miR-146a	CCL13	0.13450843463525164
miR-146a	miR-24	1.3653063812170885
miR-146a	STOM	0.27301244700254923
miR-146a	APOL1	0.13707105232526207
miR-146a	CCL23	0.06777446421705324
miR-146a	GSN	0.1649140730746197
miR-146a	OSM	0.0660120503804622
miR-146a	PF4	0.698736403210674
miR-27b	PRL	0.07167822087351539
miR-27b	IGHG1	0.234538069705013
miR-27b	CTSD	0.06450199356942754
miR-27b	miR-126	0.9857679483987996
miR-27b	Total-IGHG	0.1555925953006314
miR-27b	EGF	0.5792250266433987
miR-148a	PGLYRP2	0.10660365992745735
miR-148a	IL1R1	0.15622105738237124
miR-148a	PGF	0.14757915293095625
miR-148a	CFB	0.1586462554086001
miR-148a	PDGFB	0.04609884758051663
miR-148a	C7	0.1875093796261762
miR-148a	MMP10	0.09659320077117961
miR-148a	MMP12	0.05860879948889508
miR-148a	CPN2	0.1360131102015565
miR-148a	CCL2	0.13381405810253622
miR-148a	miR-21	0.7791553081040048
miR-28-3p	SPON1	0.12137437763161607
miR-28-3p	miR-223	1.2818677947928858
miR-28-3p	MMP3	0.06871241041510334
miR-28-3p	CD5L	0.0951911653271198
miR-28-3p	CFI	0.155392092781935
miR-28-3p	miR-320	1.121026807213978
miR-28-3p	S100A12	0.051561726518578155
miR-28-3p	FGF19	0.049265281940602534
miR-223	IGHG2	0.13067623245417437
miR-223	TIMELESS	0.10454838014947665
miR-223	miR-191	1.4816084222992298
miR-223	TNFRSF10B	0.09995912735612222
miR-223	CXCL1	0.5047153970302016
miR-223	MB	0.062338660605229634
miR-223	TNFRSF1A	0.07806472516529706
miR-223	HBEGF	0.3499754603973315
miR-223	ITIH4	0.13026322757684827
miR-223	miR-28-3p	1.280889497091735
miR-223	miR-24	1.450960140121948
miR-223	NTF3	0.07252919550489967
miR-223	TEK	0.05918209993409285
miR-378	FLT3LG	0.10279799968196368
miR-378	C2	0.21341108775999196
miR-378	KLK6	0.07992642524984195
miR-378	APOH	0.13780081024159774
miR-378	miR-320	0.4296659726451635
miR-378	CXCL8	0.0739338522243429
miR-378	SERPINA1	0.15555115778447615
miR-378	DNER	0.08165811515525068
miR-378	miR-122	0.22094519410967361
miR-378	CCL3	0.13086630345231232
miR-378	IL17C	0.08296914400640976
miR-378	IL18R1	0.06811825693505202
miR-126	miR-126*	1.0493144184394918
miR-126	FCN3	0.10506732231270277
miR-126	RBP4	0.1651236688170412
miR-126	miR-195	0.7662402604839009
miR-126	CFH	0.23934637786208945
miR-126	miR-146a	1.2426830472350785
