Regulator	Target	MI
miR-126*	CSF1	0.06789140170844021
miR-126*	CLU	0.18285230500873073
miR-126*	IGHG1	0.16620342498397456
miR-126*	LIFR	0.07349387086564096
miR-126*	MMP10	0.044975663038622216
miR-126*	C1R	0.14337140481400468
miR-126*	miR-126	1.07382560477898
miR-126*	APOL1	0.11061238123121786
miR-126*	APOC3	0.13950162930937537
miR-126*	KLKB1	0.24423140079225014
miR-223*	LPA	0.17560669604642598
miR-223*	GDNF	0.0513531771296627
miR-223*	SERPINA6	0.1414768540605209
miR-223*	MB	0.10076712167871626
miR-223*	miR-150	0.3507089430106296
miR-223*	miR-28-3p	0.8092072488580353
miR-146a	FCN3	0.12250729463084298
miR-146a	C4BPA	0.12532664067917576
miR-146a	F2R	0.5299161231709073
miR-146a	STAMBP	0.6567578567823631
miR-146a	CD274	0.6866636617652322
miR-146a	FBLN1	0.12397193687411612
miR-146a	C2	0.1967565736626895
miR-146a	C3	0.16800246303478605
miR-146a	VTN	0.12131767803400884
miR-146a	miR-320	1.0796854510700857
miR-146a	TGFB1	0.38207580578672307
miR-146a	FN1	0.14511897500175497
miR-146a	miR-335	1.1700169110427998
miR-146a	ALB	0.16390469873949787
miR-146a	HSPB1	0.7445733191400317
miR-146a	CXCL1	0.5108862378728407
miR-146a	ORM2	0.24841346737091197
miR-146a	DNER	0.0552661353882673
miR-146a	MBL2	0.12173459888231264
miR-146a	FGA	0.1740801546108175
miR-146a	ITGB1BP2	0.5876894082078543
miR-146a	ITIH2	0.09166426239375536
miR-146a	SRC	0.7894494788753539
miR-146a	miR-24	1.396123611753489
miR-146a	NTF3	0.06877004589750069
miR-146a	STOM	0.15840371555971
miR-146a	miR-21	1.122226128575214
miR-146a	ERVMER34-1	0.1585501879316782
miR-146a	TEK	0.07052213642056682
miR-146a	IL17C	0.0461529125805793
miR-146a	PF4	0.7377290753797441
miR-27b	NPPB	0.05633379904680158
miR-27b	IGHG4	0.16919502668353648
miR-27b	IL6R	0.08489421982697998
miR-27b	SERPINF1	0.0735630125798048
miR-27b	CP	0.15699582694598835
miR-27b	CLEC3B	0.09067954897250985
miR-27b	miR-21	1.068055982897647
miR-27b	CCL20	0.05937344515745302
miR-27b	APOC1	0.14172842647399442
miR-148a	PGLYRP2	0.11192406840794256
miR-148a	CCL4L1	0.1037191373021491
miR-148a	F13A1	0.20528739560975762
miR-148a	IL1R1	0.062089005909751194
miR-148a	APOD	0.14475504447740573
miR-148a	HRG	0.12850632304332432
miR-148a	CTSD	0.14041634999557306
miR-148a	IL16	0.0563422614487088
miR-148a	CHI3L1	0.11534891506476352
miR-148a	CCL8	0.16068999753558444
miR-148a	miR-21	0.8889659721732164
miR-28-3p	SPON1	0.07667432031617416
miR-28-3p	miR-223*	0.8000787251232282
miR-28-3p	miR-223	1.2651306190740321
miR-28-3p	HPR	0.1780333422844924
miR-28-3p	SULT1A1	0.5384767343036403
miR-28-3p	S100A12	0.11698051749969984
miR-28-3p	TNFSF12	0.06395353370675583
miR-28-3p	NT-pro-BNP	0.08856376172599134
miR-28-3p	ESM1	0.05702371607024492
miR-28-3p	IKBKG	0.6112719604355723
miR-28-3p	CPN2	0.12439776944425063
miR-28-3p	CCL25	0.0838497823123765
miR-223	IL15RA	0.08028014797260585
miR-223	RNASE3	0.09398578883018871
miR-223	miR-197	1.136500257300864
miR-223	miR-195	0.8141278972373538
miR-223	miR-191	1.4028199237095444
miR-223	C5	0.14755743312565617
miR-223	APOB	0.1758643710828185
miR-223	THRB	0.14666629358773076
miR-223	CX3CL1	0.10934703188337114
miR-223	JCHAIN	0.11236292719297847
miR-223	OLR1	0.1975568162248864
miR-223	FGG	0.10845852289753743
miR-223	GAL	0.09544543021752361
miR-223	miR-28-3p	1.2653533370276175
miR-223	miR-126	1.2611050000628126
miR-223	miR-24	1.4521160290333697
miR-223	CCL4	0.1119319450410714
miR-223	GSN	0.12219858157318697
miR-378	PLAT	0.13211846826713902
miR-378	IGHG2	0.11760125392388776
miR-378	TNFRSF11B	0.07772821827596044
miR-378	miR-320	0.44205378942410434
miR-378	APOE	0.16814189368201315
miR-378	FASN	0.06499443281321504
miR-378	C8A	0.10843448365592145
miR-378	SERPINA7	0.18991592894071552
miR-378	TNFRSF1A	0.10126260161721046
miR-378	CDCP1	0.09830357285480851
miR-378	C1QB	0.11385918483501634
miR-378	miR-122	0.22744319805710944
miR-378	GDF15	0.08554452028708415
miR-126	miR-126*	1.07382560477898
miR-126	miR-223	1.2611050000628117
miR-126	FST	0.09070949777147508
miR-126	HGF	0.12918477348532242
miR-126	SERPINF2	0.18497500138599232
miR-126	PAPPA	0.07642510103674116
miR-126	C7	0.17519478434000746
miR-126	TNFSF14	0.31348445271337777
miR-126	TNFRSF9	0.05058787235317208
miR-126	ADA	0.1501908354196626
miR-126	PLAUR	0.04510327142755344
miR-126	SAA4	0.152928860541782
miR-126	ABCF1	0.18204405286768122
miR-126	KITLG	0.1476140332446878
miR-335	miR-146a	1.1704064045943463
miR-335	EIF4EBP1	0.47070061709733224
miR-335	CD40	0.49503037763026203
miR-335	CASP8	0.5102363194104997
miR-335	CTSL	0.10564024821055096
miR-335	CSTB	0.07894355518928897
miR-335	CD40LG	0.6995248239635155
miR-335	CD5	0.10650014984709877
miR-197	MPO	0.11157247790377234
miR-197	miR-223	1.136500257300865
miR-197	CFH	0.20353605877923098
miR-197	Total-IGHG	0.16900826593130436
miR-197	IGHA1	0.1345113572482397
miR-197	IGHA2	0.13679168063269742
miR-197	SERPINA1	0.17065302064931842
miR-197	APOA1	0.13471665558415324
miR-197	HBEGF	0.3222682372211292
miR-197	ITIH1	0.07549444378073122
miR-197	AGT	0.20548639115519673
miR-197	VEGFA	0.17019587933571056
miR-197	LRG1	0.18303435949142255
miR-24	CXCL16	0.044020823650306795
miR-24	miR-223	1.4517248151934403
miR-24	miR-146a	1.401845468824387
miR-24	AGER	0.104112244329019
miR-24	CXCL11	0.179371604487363
miR-24	SHBG	0.21310754446551705
miR-24	CXCL6	0.3030158265223495
miR-24	CXCL5	0.43173447033746815
miR-24	AXIN1	0.619772741354236
miR-24	NGF	0.06716965502737793
miR-24	MMP12	0.07752604844336908
miR-24	IL10RB	0.048070300817095735
miR-24	XPNPEP2	0.09954180141805402
miR-122	FCN3	0.2068993088389135
miR-122	FGF5	0.13602264988745727
miR-122	IGHG4	0.15613328616597766
miR-122	THBD	0.1467426999874606
miR-122	TNFSF10	0.07072185011536636
miR-122	FGG	0.09470719152920015
miR-122	FLT3LG	0.10783920647416778
miR-122	AZGP1	0.13952558730126796
miR-122	SELENOP	0.17725694796625646
miR-122	AFM	0.11910748451779796
miR-122	FBLN1	0.15120581677481848
miR-122	CCL4	0.09846005417257864
miR-122	APOD	0.11639085147707906
miR-122	CCL19	0.0465452527197332
miR-122	FGF21	0.1503771777654963
miR-122	GSN	0.1131497458682107
miR-122	TNFRSF9	0.06217529483436923
miR-122	TNFSF12	0.09573718674770415
miR-122	SELE	0.2084295694857774
miR-122	GH1	0.0806256992275527
miR-122	miR-378	0.2412666461024644
miR-122	TF	0.10547147271551971
miR-122	IL18R1	0.06568495485938897
