Regulator	Target	MI
miR-126*	C4BPA	0.13599107894048856
miR-126*	CLU	0.12401403518810472
miR-126*	AZGP1	0.2220975533798608
miR-126*	HPR	0.11507967105662864
miR-126*	C6	0.13899304468372353
miR-126*	FGF21	0.10387325471906461
miR-126*	BDNF	0.044243559726939274
miR-126*	miR-126	1.0868728749130803
miR-126*	OSM	0.061953534421515855
miR-223*	IGHG2	0.10568950953878087
miR-223*	HBE1	0.19214147493134526
miR-223*	PAPPA	0.051552397502308445
miR-223*	KNG1	0.13504467575434553
miR-223*	miR-28-3p	0.8311512082416153
miR-223*	CCL2	0.06651144041037949
miR-146a	FCN3	0.11474595740552296
miR-146a	FGF5	0.06244006715986394
miR-146a	STAMBP	0.8470781818600379
miR-146a	CFB	0.12292685688603644
miR-146a	TGFA	0.11645976560198879
miR-146a	C2	0.11573888049904912
miR-146a	SULT1A1	0.5697062821251304
miR-146a	EIF4EBP1	0.42967791493608676
miR-146a	CXCL11	0.15029583309161065
miR-146a	miR-335	1.1886374740841683
miR-146a	CD40	0.41313559357341845
miR-146a	HSPB1	0.7611946698137864
miR-146a	ORM2	0.09003279958619625
miR-146a	CASP8	0.49491305879352865
miR-146a	CTSD	0.10731278414783763
miR-146a	MMP7	0.055903154658972554
miR-146a	ITGB1BP2	0.6168533799992568
miR-146a	CCL13	0.1646033003410743
miR-146a	miR-28-3p	1.2377965279936358
miR-146a	miR-24	1.3363348705433316
miR-146a	CCL19	0.08384020879664167
miR-146a	miR-21	1.01367793400372
miR-146a	GSN	0.19142159147574578
miR-27b	CXCL6	0.3286500113587687
miR-27b	DNER	0.11610171605164865
miR-27b	miR-21	0.9875620996102787
miR-27b	IL10RB	0.08151786722742216
miR-27b	TF	0.08758450864934275
miR-27b	FGF19	0.07666944392240627
miR-148a	PLAT	0.1648409774100168
miR-148a	NPPB	0.06859522641047011
miR-148a	HGF	0.11431489711614784
miR-148a	SERPINC1	0.13948085112610542
miR-148a	CLEC3B	0.1785555520821136
miR-148a	miR-122	0.24933740288852935
miR-148a	miR-21	0.8756033380341721
miR-148a	CMA1	0.15878425261312934
miR-28-3p	miR-223*	0.8328501985809291
miR-28-3p	PGF	0.10832889750114916
miR-28-3p	miR-197	1.0232724065475338
miR-28-3p	SELENOP	0.14710457350520567
miR-28-3p	TIMELESS	0.05239075750015498
miR-28-3p	miR-191	1.2894745122204512
miR-28-3p	miR-146a	1.2379903198140374
miR-28-3p	FBLN1	0.17332448232816144
miR-28-3p	C5	0.13379404705014153
miR-28-3p	miR-320	1.2399353226094814
miR-28-3p	S100A12	0.0699891901472629
miR-28-3p	TNFSF14	0.3169356422599181
miR-28-3p	TNFRSF10B	0.14568671452503246
miR-28-3p	SHBG	0.23761147753416711
miR-28-3p	ADM	0.0622070668213226
miR-28-3p	PRL	0.06710360261402837
miR-28-3p	C8A	0.07019587204952504
miR-28-3p	APOA2	0.10952969143495217
miR-28-3p	miR-150	0.36843932643451716
miR-28-3p	CCL3	0.07092863840221586
miR-28-3p	GDF15	0.12107236632285368
miR-28-3p	APOC3	0.2340411434029459
miR-28-3p	KLKB1	0.12354629755072555
miR-28-3p	CD244	0.28204560079222674
miR-223	miR-191	1.382395477810645
miR-223	AGER	0.05034112068545493
miR-223	VTN	0.14812363881035573
miR-223	CXCL10	0.09227774922858778
