Regulator	Target	MI
miR-126*	IGHG4	0.12573694518635392
miR-126*	AGER	0.04633301183448424
miR-126*	IL6	0.1257865948132304
miR-126*	CXCL9	0.12519744443162395
miR-126*	miR-126	1.184521848350002
miR-126*	IL10RA	0.12699679478254922
miR-223*	CCL4L1	0.05940453444383653
miR-223*	miR-197	0.8477976707833275
miR-223*	TGFA	0.0447020314306279
miR-223*	A1BG	0.19622329524358584
miR-223*	TNFSF12	0.12488803594792497
miR-223*	ESM1	0.045261481662006275
miR-223*	GAL	0.05719064713426558
miR-223*	CST5	0.0800693012677014
miR-223*	ABCF1	0.19271286869607795
miR-223*	CCL25	0.05952665998549378
miR-223*	miR-378	0.3891699657444718
miR-223*	AGRP	0.08144226609523741
miR-223*	IL17C	0.04538176028926255
miR-146a	CSF1	0.1012977009804592
miR-146a	F2R	0.5293972781892107
miR-146a	CD274	0.6090682539891219
miR-146a	CFH	0.14383208497254962
miR-146a	KNG1	0.09725269863237251
miR-146a	C2	0.21017753359034597
miR-146a	C3	0.11855968936867889
miR-146a	IGHA2	0.18386391195009644
miR-146a	CP	0.17222898386334684
miR-146a	CD40	0.3927512057627949
miR-146a	HSPB1	0.7952217730789206
miR-146a	CXCL1	0.5431479089816156
miR-146a	C8A	0.143655397810873
miR-146a	CXCL5	0.48569078113808484
miR-146a	CASP8	0.675972039951926
miR-146a	IKBKG	0.5730171060983364
miR-146a	AXIN1	0.6404454499597119
miR-146a	SIRT2	0.8797467365078635
miR-146a	IFNG	0.046421037499738915
miR-146a	ITGB1BP2	0.56394881546235
miR-146a	ITIH2	0.09723822183374065
miR-146a	CD5L	0.1630734338814488
miR-146a	miR-24	1.381642593027001
miR-146a	CD244	0.2643841390022663
miR-146a	C1QC	0.13389050976612094
miR-27b	DNER	0.06900055126768478
miR-27b	MMP3	0.0865456250586698
miR-27b	IL16	0.09191273419672008
miR-27b	PRAP1	0.04332124362180778
miR-27b	ITIH4	0.18294192700028944
miR-27b	CCL11	0.09108927574539383
miR-27b	CCL8	0.10016954777711629
miR-27b	miR-24	0.9382888583138875
miR-27b	APOE	0.1049844506091473
miR-27b	miR-21	0.9284887253126097
miR-27b	VEGFA	0.13096445529947953
miR-27b	FABP4	0.07586776483546487
miR-148a	SPON1	0.051310533674313596
miR-148a	PGLYRP2	0.10395198790428672
miR-148a	SELE	0.0770911969895387
miR-148a	FGF19	0.08371733865240394
miR-148a	CXCL8	0.11044161158503485
miR-148a	miR-21	0.8457291057596503
miR-148a	CD5	0.10227461988965114
miR-148a	IL18R1	0.10785979541674617
miR-28-3p	miR-223	1.3541363012157603
miR-28-3p	HGF	0.06568839414938221
miR-28-3p	DKK1	0.3657135752707177
miR-28-3p	APOM	0.17686834396303563
miR-28-3p	miR-320	1.158296752126894
miR-28-3p	JCHAIN	0.08805169509973165
miR-28-3p	LTA	0.06023946177101891
miR-28-3p	PECAM1	0.3281520809919609
miR-28-3p	SRC	0.8028614727987975
miR-28-3p	CPN2	0.16421669370039638
miR-28-3p	IL1RL1	0.07458858374382338
miR-223	miR-191	1.4835873513442905
miR-223	C6	0.15953429893499926
miR-223	TNFSF14	0.37169146911932494
miR-223	CXCL11	0.14008937585162773
miR-223	ADA	0.09233059381398512
miR-223	SERPINA3	0.15834755214249618
miR-223	APOA2	0.19463735544117533
miR-223	APOA4	0.1786766771651065
miR-223	C1QB	0.12848718325893493
miR-223	CSTB	0.1690957147636043
miR-223	SERPINC1	0.10433568480855282
miR-223	miR-28-3p	1.3541363012157586
miR-223	miR-126	1.3157174355567287
miR-223	CCL7	0.0659868576453082
miR-223	miR-24	1.481618543581412
miR-223	AGT	0.18302844816184027
miR-223	LEP	0.1027112467089557
miR-223	PF4	0.7108771619441692
miR-378	miR-223*	0.39468840656628856
miR-378	SLC4A1	0.16488388101097762
miR-378	SERPINF1	0.08652496606166693
miR-378	RNASE3	0.13728657767730912
miR-378	PGF	0.07456217094381401
miR-378	LPA	0.1971812011778855
miR-378	HPR	0.16405813402717762
miR-378	ALB	0.1449302661748968
miR-378	CTSD	0.11066978988095588
miR-378	APOA1	0.16746628272117547
miR-378	miR-122	0.31389270071457176
miR-378	CCL23	0.16443482125358422
miR-378	KLKB1	0.13761779323413847
miR-126	miR-126*	1.18596123409141
miR-126	miR-223	1.3157174355567278
miR-126	miR-195	0.754873066692042
miR-126	FN1	0.12993452037769337
miR-126	HRG	0.16394472736094912
miR-126	MRS2	0.12677317913269626
miR-126	CXCL6	0.4011514283124944
miR-126	THBD	0.04564030423183496
miR-126	MBL2	0.13022894210334268
miR-126	FGA	0.17367824820880529
miR-126	PLAUR	0.05563248665912646
miR-126	C1S	0.15854717608531654
miR-126	AFM	0.1908902906454868
miR-126	TTR	0.1693147463458775
miR-126	miR-21	1.0651312417823355
miR-126	APOC3	0.1753395293804516
miR-126	TEK	0.07217659676896027
miR-335	FST	0.1274408784740899
miR-335	STAMBP	0.698488173347795
miR-335	TNFRSF11B	0.08515479865495301
miR-335	TF	0.20651446651058425
miR-335	MMP10	0.09856122221424268
miR-335	HBEGF	0.3532466872839404
miR-335	PLG	0.1192634978102678
miR-335	miR-24	1.2045032467930108
miR-335	GSN	0.12938155233701387
miR-335	CCL20	0.04812203255296499
miR-335	EGF	0.6548089576559528
miR-335	IL10RB	0.052243059727358876
miR-335	CD40LG	0.688159766217141
miR-335	IL17A	0.0758969643795746
miR-197	miR-223*	0.8418733359067465
miR-197	IL6R	0.04887264236914479
miR-197	SELENOP	0.19695247968978968
miR-197	SERPING1	0.0774106504383969
miR-197	CFI	0.1890008261261018
miR-197	C5	0.15726021849431504
miR-197	APOH	0.18132022337817677
miR-197	APOD	0.19841649076487045
miR-197	AMBP	0.14869903384791439
miR-197	SERPINA7	0.13645347500726146
miR-197	miR-92a	0.9738814376630316
miR-197	miR-150	0.3865221313617342
miR-197	RETN	0.16065843396788004
miR-197	miR-24	1.1746338213180652
miR-197	APOL1	0.13490520859716426
miR-197	ERVMER34-1	0.1609853595774684
miR-197	APOC2	0.1521326933573528
miR-24	FCN3	0.13601528255637874
miR-24	CXCL16	0.09232204687765755
miR-24	miR-223	1.4863630607668519
miR-24	HBE1	0.1503301168710811
miR-24	miR-197	1.1738398132399386
miR-24	miR-146a	1.3779385508283255
miR-24	Total-IGHG	0.11207507239014358
miR-24	S100A12	0.0506018884525572
miR-24	TGFB1	0.41693194500442043
miR-24	TNFRSF10B	0.14540060656074427
miR-24	miR-27b	0.9344051547428247
miR-24	miR-335	1.2045032467930108
miR-24	IL7	0.35303260148915516
miR-24	PRL	0.05669841571787604
miR-24	CX3CL1	0.10297655273487827
miR-24	MB	0.04871955794461247
miR-24	NGF	0.119863101644615
miR-122	NT-pro-BNP	0.09821617588978881
miR-122	CXCL9	0.06432950819699901
miR-122	FCN3	0.20629953470450868
miR-122	THRB	0.1333307581696248
miR-122	PLAT	0.14732754019804162
miR-122	C8A	0.16230080336263697
miR-122	FGF5	0.06382889555658089
miR-122	NPPB	0.07346482388094522
miR-122	IGHG4	0.17283625851873108
miR-122	IL10	0.044266817278340476
miR-122	F2R	0.18294091752262354
miR-122	MMP3	0.06543886955861922
miR-122	APOA2	0.18944942879669835
miR-122	FLT3LG	0.09148100696544947
miR-122	APOA4	0.14356179629522803
miR-122	LIFR	0.0725421605148826
miR-122	PRAP1	0.08667524032279506
miR-122	TIMELESS	0.09356796530440459
miR-122	SELPLG	0.06829612927537188
miR-122	SERPINC1	0.16468727181599974
miR-122	AFM	0.11916575786171002
miR-122	TGFA	0.07817203895177194
miR-122	FBLN1	0.12055458292804211
miR-122	AGER	0.14009672706365706
miR-122	VTN	0.13304478592938906
miR-122	C6	0.1484528969792418
miR-122	CCL4	0.10680146234713295
miR-122	S100A12	0.05152863268048069
miR-122	IGHA2	0.10681843044805106
miR-122	GDF15	0.058428700088257735
miR-122	PSPHP1	0.12465405409551256
miR-122	TNFRSF9	0.05743001874504028
miR-122	TNFSF12	0.07043084143384082
miR-122	AGT	0.10732119172233201
miR-122	VEGFA	0.08821786188290837
miR-122	CXCL10	0.05587468897532233
miR-122	GH1	0.07976052569364
miR-122	miR-378	0.30813991449097333
miR-122	TEK	0.11886491219657902
miR-155	SPON1	0.0496532767529656
miR-155	SERPINA1	0.15123446878733926
miR-155	CTSL	0.08041413945469689
miR-155	miR-92a	0.3817136825689671
miR-155	miR-150	0.44743538371945757
miR-155	CCL2	0.0919026725649319
miR-155	IGHA1	0.2533052528517672
miR-155	OSM	0.05910817430599913
miR-155	GH1	0.052108152442424505
miR-155	CD6	0.17765909848399186
miR-320	MPO	0.04447891878763155
miR-320	IGHG2	0.1477302961859115
miR-320	AZGP1	0.0892576706980881
miR-320	APOB	0.15642676691378554
miR-320	FGF21	0.06627327611492895
miR-320	FASN	0.07737028046478933
miR-320	miR-92a	0.9317133229799914
miR-320	CCL13	0.09752274895212842
miR-320	C1R	0.09784250022826768
miR-320	miR-28-3p	1.1757792826984153
miR-320	CLEC3B	0.15658993629760243
miR-320	GC	0.1594208181860104
miR-150	C4BPA	0.1617266360502283
miR-150	IL1R1	0.06943088868419522
miR-150	miR-197	0.3726706251116054
miR-150	PAPPA	0.0832029719444689
miR-150	VTN	0.14571649889122718
miR-150	IGHM	0.17344586070209456
miR-150	U6	0.3644441418822515
miR-150	ORM1	0.13932470850253598
miR-150	C8A	0.17233392155430582
miR-150	TNFRSF1A	0.07747376460666455
miR-150	miR-155	0.4634308222195189
miR-150	CHI3L1	0.05721972184319135
miR-150	ITIH1	0.1394394401450345
miR-150	SERPIND1	0.11954474070710841
miR-150	miR-378	0.29825604159144614
miR-150	APOC1	0.13926298752004218
miR-195	IGHG3	0.13516249873659447
miR-195	TNFSF10	0.06744825240357422
miR-195	RBP4	0.2150632973161919
miR-195	EIF4EBP1	0.5788989738483359
miR-195	CXCL10	0.06123876963961994
miR-195	SERPINA6	0.17328363941195324
miR-195	OLR1	0.1246669295357492
miR-195	miR-92a	0.6919320870594046
miR-195	HBA1	0.2963177422316772
miR-195	miR-126	0.7460776206997206
miR-195	SERPIND1	0.16439379545104682
miR-195	CCL28	0.09707244015620375
miR-21	IGHM	0.18231206358523888
miR-21	miR-148a	0.8164410893171601
miR-21	AHSG	0.1879296774029049
miR-21	MMP1	0.2130772289847105
miR-21	FLT3LG	0.06614550377842132
