Regulator	Target	MI	pvalue
miR-92a	miR-320	0.9898023835566845	0.0
miR-126*	CSF1	0.09233554698691247	1.2861083844573074E-5
miR-146a	CD274	0.6409230514266664	0.0
miR-378	CCL3	0.09496300112674602	1.2861083844573074E-5
miR-126*	APOC3	0.12507141797002067	2.591031217513695E-4
miR-122	APOL1	0.10757511525210471	6.308020772394229E-10
miR-122	APOA4	0.12255751551913385	2.964295475749168E-12
miR-122	APOA2	0.11355361821674904	5.441278561058027E-7
miR-122	IL10RB	0.07800956629867743	0.004390005377858941
miR-21	OLR1	0.13276617204730393	0.016852815143388877
miR-150	Total-IGHG	0.14186559391194908	2.591031217513695E-4
miR-146a	CASP8	0.5283645705078994	0.0
miR-24	SIRT2	0.8567232872291493	0.016852815143388877
miR-378	CTSD	0.10824406840158307	2.591031217513695E-4
miR-122	APOC3	0.10354240927253015	0.0010908615793070453
miR-122	APOC2	0.10132134774994843	1.2861083844573074E-5
miR-146a	AXIN1	0.6091565732845826	6.308020772394229E-10
miR-146a	STAMBP	0.7143481318374706	0.0
miR-197	PLAUR	0.09141148798094095	0.016852815143388877
miR-122	CX3CL1	0.0900612694661255	0.0
miR-27b	CLEC3B	0.10931682062700213	1.0730749622211988E-10
miR-335	CD40	0.3829386739260426	0.016852815143388877
miR-146a	miR-21	1.051335167587299	0.016852815143388877
miR-146a	miR-24	1.3271334954182603	0.0
miR-150	SERPIND1	0.11769304405133875	0.0
miR-92a	HBD	0.21064390145523382	1.05800448402249E-7
miR-150	SERPINF2	0.11751840492904876	2.591031217513695E-4
miR-146a	GPX3	0.14897987071835755	0.0010908615793070453
miR-146a	F2R	0.49835178114743234	0.0
miR-191	C3	0.12262020675472181	0.004390005377858941
miR-223*	A1BG	0.16558386799797975	0.004390005377858941
miR-150	APOC1	0.12140069946517124	5.893734749573554E-5
miR-146a	CD40LG	0.7064736250867145	0.0
miR-320	miR-28-3p	1.1493329121721607	0.0
miR-21	miR-126	1.0673383514705466	0.0
miR-223	PF4	0.6767059170312084	3.5974689893691902E-9
miR-195	EIF4EBP1	0.4872002114251788	0.0
miR-155	TTR	0.14201625989358868	1.7785772854495008E-11
miR-150	NPPB	0.09681416345386673	1.2861083844573074E-5
miR-155	RNASE3	0.09446956563689776	0.0010908615793070453
miR-150	MMP3	0.08728710062372619	0.016852815143388877
miR-122	NPPB	0.08124736682363538	2.591031217513695E-4
miR-122	IL6	0.07530277749308145	0.0
miR-155	ERVMER34-1	0.12359395826544362	5.441278561058027E-7
miR-195	HBA1	0.33320671800284324	0.0
miR-122	SELE	0.11678086003558931	0.0
miR-223	miR-28-3p	1.318284085490017	0.0
miR-223	CXCL1	0.5330416417074022	1.05800448402249E-7
miR-146a	IKBKG	0.5550035246438887	0.0
miR-122	AFM	0.18482545768879952	0.0
miR-21	TTR	0.15101408655209977	5.441278561058027E-7
miR-146a	MBL2	0.11463321615563145	0.016852815143388877
miR-28-3p	miR-223*	0.7724102079201884	1.984951536471158E-8
miR-27b	miR-21	0.990206014083747	0.0
miR-122	FGF21	0.08757563581435673	0.0
miR-335	STOM	0.20654455937769	0.004390005377858941
miR-122	ALB	0.12236018436221378	2.696694294535007E-6
miR-195	miR-126	0.7371015151704523	5.928590951498336E-13
miR-122	LRG1	0.1429843623592787	0.0
miR-155	ITIH2	0.13656504628753777	0.0010908615793070453
miR-24	miR-223	1.457367595050815	0.0
miR-28-3p	miR-223	1.3188462978458044	0.0
miR-122	KLK11	0.07896222603282216	0.004390005377858941
miR-146a	PECAM1	0.3508136727649005	0.016852815143388877
miR-122	FCN3	0.177240910380402	0.0
miR-195	miR-92a	0.7374816791790039	0.0
miR-155	U6	0.3509441121949903	5.893734749573554E-5
miR-378	GDF15	0.08496337946715408	1.2861083844573074E-5
miR-122	CST5	0.07308355376114825	3.5974689893691902E-9
miR-150	NT-pro-BNP	0.1000034675611579	1.2861083844573074E-5
miR-146a	miR-320	1.127779834757212	0.0
miR-146a	miR-335	1.161387785964592	0.0
miR-150	IL16	0.10523228772044248	3.5974689893691902E-9
miR-223	miR-126	1.2790939609455223	0.0010908615793070453
miR-335	CD40LG	0.7104458821171549	0.0
miR-223	miR-197	1.1048803280546051	0.004390005377858941
miR-223	miR-191	1.4653403123982427	0.0
miR-195	SERPINA6	0.1319200244892234	1.7785772854495008E-11
miR-122	CXCL9	0.08297665241981324	1.7785772854495008E-11
miR-21	miR-148a	0.8229322148336242	0.0
