"","beta","HR","95% Lower CI for HR","95% Upper CI for HR","Z","p.value"
"miR.122",-0.092770995147854,0.911402191923738,0.704160753467702,1.17963682490506,-0.704820115094786,0.480922188899211
"miR.126",-0.182576432882789,0.833120963657764,0.616779353811339,1.12534658593379,-1.19016267430462,0.233982460563712
"miR.150",-0.13815115872453,0.870967027529963,0.579767505328006,1.30842718171176,-0.665323418309683,0.505843655224238
"miR.155",0.000792639518362263,1.00079295374008,0.806405294395671,1.24203864138367,0.0071936212109341,0.994260370202146
"miR.191",-0.295554583007484,0.744118797372732,0.517552287809591,1.06986829668339,-1.59540642837443,0.110621379431811
"miR.195",-0.123743706281055,0.883606274602943,0.675625043882796,1.15561146761329,-0.903715794871786,0.366146121622353
"miR.197",-0.125428264322832,0.882119041564181,0.683929697924788,1.13773974993506,-0.966059109130661,0.33401460431703
"miR.21",0.0185522657617463,1.01872542823869,0.837972572343464,1.23846714366532,0.186163054865071,0.852316895408078
"miR.223",-0.228890933838279,0.795415281666109,0.603263453061475,1.04877142332622,-1.62242752603165,0.104711839338646
"miR.24",-0.143684735358026,0.866160774885678,0.659422472842665,1.13771446811089,-1.03267536932354,0.30175584386306
"miR.28.3p",-0.0648998931141434,0.937161274978515,0.744644364928164,1.17945061654241,-0.553173312551489,0.580144739419172
"U6...14",-0.0623590636117123,0.939545469627909,0.682472368309837,1.29345264436782,-0.382331537232448,0.702215465009353
"miR.27b",0.0226748319642651,1.02293386006782,0.861326224854634,1.21486337217916,0.25844780319274,0.796061327737101
"miR.92a",0.009345625335935,1.0093894320531,0.824559324365501,1.23565035945049,0.0905657595932132,0.927837639971774
"miR.146a",-0.00573892137256279,0.994277514779738,0.808632265771904,1.22254307457406,-0.0544247593759417,0.956596752955563
"miR.148a",0.0679039405214705,1.0702624946836,0.911763700565147,1.2563143354099,0.830363344897135,0.406333383439123
"miR.320",0.0365231457849562,1.03719831050898,0.859647338777605,1.25142053816208,0.381260665928446,0.70300983741326
"miR.335",0.0441481527756123,1.04513718339364,0.871725894544264,1.25304495248824,0.476930790302103,0.633411405744916
"miR.126.",-0.0671655608584763,0.935040382432729,0.732371605563659,1.19379357437957,-0.538850502062491,0.589990013507399
"miR.223.",-0.102776016772048,0.902329057423922,0.707255201771529,1.15120783252233,-0.826960038301009,0.408259711985932
"miR.378",0.0309168667008453,1.03139975665783,0.84628031344357,1.25701312098968,0.306316274439401,0.759363849186299
"U6...24",-0.179828836504562,0.835413191416422,0.47326908174365,1.47466890890329,-0.620238264505871,0.535100932817786
"Triglycerides",0.236046102438356,1.26623268523557,1.09350071255026,1.4662498110491,3.15447905709074,0.00160784917856599
"AGE",0.823793763421907,2.27912993669192,1.81973858714465,2.85449421418045,7.17281034122247,7.34736101685603e-13
"SEX",-0.090149298836715,0.913794746593751,0.7404629862566,1.12770098492535,-0.840056576070316,0.40087666577236
"Total_cholesterol",0.145254388640692,1.15633369101179,0.942427984934617,1.41879021669939,1.39180223883463,0.163982291836562
"HDL_C",-0.222603928483087,0.800431814762972,0.6330161116524,1.0121244598535,-1.85930322357983,0.0629841703377075
"LDL_C",0.13264167922005,1.14184077974074,0.931355276648644,1.39989582812102,1.27590219502744,0.20199009504887
"CVD0010",24.0328685878541,27374248916.1613,0,Inf,0.00733493139868409,0.994147623959983
"CVD0010W",-6.05579963289363,0.00234422685010852,2.58271386071253e-05,0.212776165736517,-2.63274147698151,0.00846987899152974
