beta,HR,low,high,Z,pval
-0.092770995,0.911402192,0.704160753,1.179636825,-0.704820115,0.480922189
-0.182576433,0.833120964,0.616779354,1.125346586,-1.190162674,0.233982461
-0.138151159,0.870967028,0.579767505,1.308427182,-0.665323418,0.505843655
0.00079264,1.000792954,0.806405294,1.242038641,0.007193621,0.99426037
-0.295554583,0.744118797,0.517552288,1.069868297,-1.595406428,0.110621379
-0.123743706,0.883606275,0.675625044,1.155611468,-0.903715795,0.366146122
-0.125428264,0.882119042,0.683929698,1.13773975,-0.966059109,0.334014604
0.018552266,1.018725428,0.837972572,1.238467144,0.186163055,0.852316895
-0.228890934,0.795415282,0.603263453,1.048771423,-1.622427526,0.104711839
-0.143684735,0.866160775,0.659422473,1.137714468,-1.032675369,0.301755844
-0.064899893,0.937161275,0.744644365,1.179450617,-0.553173313,0.580144739
0.022674832,1.02293386,0.861326225,1.214863372,0.258447803,0.796061328
0.009345625,1.009389432,0.824559324,1.235650359,0.09056576,0.92783764
-0.005738921,0.994277515,0.808632266,1.222543075,-0.054424759,0.956596753
0.067903941,1.070262495,0.911763701,1.256314335,0.830363345,0.406333383
0.036523146,1.037198311,0.859647339,1.251420538,0.381260666,0.703009837
0.044148153,1.045137183,0.871725895,1.253044952,0.47693079,0.633411406
-0.067165561,0.935040382,0.732371606,1.193793574,-0.538850502,0.589990014
-0.102776017,0.902329057,0.707255202,1.151207833,-0.826960038,0.408259712
0.030916867,1.031399757,0.846280313,1.257013121,0.306316274,0.759363849
