"SUID","interaction","MI","name","pvalue","selected","shared interaction","shared name"
"6536","interacts with","0.9721856047541823","SRC (interacts with) SIRT2","0.0","false","interacts with","SRC (interacts with) SIRT2"
"6537","interacts with","0.8613162012661165","SRC (interacts with) CD40LG","0.0","false","interacts with","SRC (interacts with) CD40LG"
"6538","interacts with","0.34239147549344484","MMP1 (interacts with) HBEGF","8.024779115700653E-5","false","interacts with","MMP1 (interacts with) HBEGF"
"6539","interacts with","0.3557127810035096","MMP1 (interacts with) F2R","1.4096222855641827E-8","false","interacts with","MMP1 (interacts with) F2R"
"6540","interacts with","0.0948755095056046","XPNPEP2 (interacts with) REN","1.432542973134332E-9","false","interacts with","XPNPEP2 (interacts with) REN"
"6541","interacts with","0.10813257273522527","XPNPEP2 (interacts with) CXCL16","0.004285196681163228","false","interacts with","XPNPEP2 (interacts with) CXCL16"
"6542","interacts with","0.7426245828959642","AXIN1 (interacts with) TGFB1","0.0","false","interacts with","AXIN1 (interacts with) TGFB1"
"6543","interacts with","1.311585943186666","AXIN1 (interacts with) STAMBP","0.0","false","interacts with","AXIN1 (interacts with) STAMBP"
"6544","interacts with","0.541180843117607","DKK1 (interacts with) HBEGF","0.0283586604778856","false","interacts with","DKK1 (interacts with) HBEGF"
"6545","interacts with","0.7063839060374748","DKK1 (interacts with) CD274","0.0","false","interacts with","DKK1 (interacts with) CD274"
"6546","interacts with","0.3073491423650233","CTSL (interacts with) CSF1","0.0","false","interacts with","CTSL (interacts with) CSF1"
"6547","interacts with","0.3002135641986908","CTSL (interacts with) IL27","0.0","false","interacts with","CTSL (interacts with) IL27"
"6548","interacts with","0.9456290396443184","NT-pro-BNP (interacts with) NPPB","0.0","false","interacts with","NT-pro-BNP (interacts with) NPPB"
"6549","interacts with","0.22014966399907993","NT-pro-BNP (interacts with) ADM","1.1835311908292567E-6","false","interacts with","NT-pro-BNP (interacts with) ADM"
"6550","interacts with","0.13617076835682124","NT-pro-BNP (interacts with) GH1","1.432542973134332E-9","false","interacts with","NT-pro-BNP (interacts with) GH1"
"6551","interacts with","0.2076841822053225","NT-pro-BNP (interacts with) SPON1","6.052689173845494E-4","false","interacts with","NT-pro-BNP (interacts with) SPON1"
"6552","interacts with","0.24165366549292658","NT-pro-BNP (interacts with) GDF15","0.0","false","interacts with","NT-pro-BNP (interacts with) GDF15"
"6553","interacts with","0.16124874917050724","NT-pro-BNP (interacts with) DNER","0.0283586604778856","false","interacts with","NT-pro-BNP (interacts with) DNER"
"6554","interacts with","0.0973039968380111","IL5 (interacts with) LIF","0.0283586604778856","false","interacts with","IL5 (interacts with) LIF"
"6555","interacts with","0.1195683306649586","IL5 (interacts with) IL20","0.0","false","interacts with","IL5 (interacts with) IL20"
"6556","interacts with","0.0993875423157353","IL5 (interacts with) IL13","6.052689173845494E-4","false","interacts with","IL5 (interacts with) IL13"
"6557","interacts with","0.4104569037485043","APOE (interacts with) THRB","0.004285196681163228","false","interacts with","APOE (interacts with) THRB"
"6558","interacts with","0.5399053346451943","APOE (interacts with) APOC2","0.0","false","interacts with","APOE (interacts with) APOC2"
"6559","interacts with","0.4730930555732268","APOE (interacts with) APOC3","8.024779115700653E-5","false","interacts with","APOE (interacts with) APOC3"
"6560","interacts with","0.4116221664490398","APOE (interacts with) CFI","0.0","false","interacts with","APOE (interacts with) CFI"
"6561","interacts with","0.2867481005229564","APOE (interacts with) CD5L","0.0283586604778856","false","interacts with","APOE (interacts with) CD5L"
"6562","interacts with","0.44603808779312926","APOE (interacts with) APOB","8.024779115700653E-5","false","interacts with","APOE (interacts with) APOB"
"6563","interacts with","0.08864329962585282","IFNG (interacts with) TSLP","0.0283586604778856","false","interacts with","IFNG (interacts with) TSLP"
"6564","interacts with","0.17082338017501092","IFNG (interacts with) IL10RA","0.0","false","interacts with","IFNG (interacts with) IL10RA"
"6565","interacts with","0.20206825206016207","IFNG (interacts with) IL15RA","0.0283586604778856","false","interacts with","IFNG (interacts with) IL15RA"
"6566","interacts with","0.1993820283068576","IFNG (interacts with) IL10","1.1835311908292567E-6","false","interacts with","IFNG (interacts with) IL10"
"6567","interacts with","0.17945042161909228","IFNG (interacts with) IL20","0.0","false","interacts with","IFNG (interacts with) IL20"
"6568","interacts with","0.14914141163496447","IFNG (interacts with) IL17A","6.052689173845494E-4","false","interacts with","IFNG (interacts with) IL17A"
"6569","interacts with","0.2113091531108099","IFNG (interacts with) CXCL10","0.0","false","interacts with","IFNG (interacts with) CXCL10"
"6570","interacts with","0.21664278036318893","IFNG (interacts with) CXCL11","1.4096222855641827E-8","false","interacts with","IFNG (interacts with) CXCL11"
"6571","interacts with","0.2069920580880053","IFNG (interacts with) CXCL9","1.1835311908292567E-6","false","interacts with","IFNG (interacts with) CXCL9"
"6572","interacts with","0.21208655359631573","IFNG (interacts with) SLAMF1","6.052689173845494E-4","false","interacts with","IFNG (interacts with) SLAMF1"
"6573","interacts with","0.4144206920440972","F13A1 (interacts with) KNG1","6.052689173845494E-4","false","interacts with","F13A1 (interacts with) KNG1"
"6574","interacts with","0.3715044781675186","F13A1 (interacts with) CLEC3B","0.0","false","interacts with","F13A1 (interacts with) CLEC3B"
"6575","interacts with","0.3966340027071248","F13A1 (interacts with) SERPING1","0.0","false","interacts with","F13A1 (interacts with) SERPING1"
"6576","interacts with","0.39982545166431577","F13A1 (interacts with) GC","0.0","false","interacts with","F13A1 (interacts with) GC"
"6577","interacts with","0.310730643058314","F13A1 (interacts with) FN1","6.052689173845494E-4","false","interacts with","F13A1 (interacts with) FN1"
"6578","interacts with","0.36777194722723366","F13A1 (interacts with) APOA1","0.0","false","interacts with","F13A1 (interacts with) APOA1"
"6579","interacts with","0.3788323479663532","F13A1 (interacts with) ITIH4","6.052689173845494E-4","false","interacts with","F13A1 (interacts with) ITIH4"
"6580","interacts with","0.3963942626965687","F13A1 (interacts with) APOB","0.0","false","interacts with","F13A1 (interacts with) APOB"
"6581","interacts with","0.11722217253153708","NPPB (interacts with) VEGFD","1.432542973134332E-11","false","interacts with","NPPB (interacts with) VEGFD"
"6582","interacts with","0.10643120184282463","NPPB (interacts with) GH1","0.004285196681163228","false","interacts with","NPPB (interacts with) GH1"
"6583","interacts with","0.9461151914475294","NPPB (interacts with) NT-pro-BNP","0.0","false","interacts with","NPPB (interacts with) NT-pro-BNP"
"6584","interacts with","0.3247118595245867","SPON1 (interacts with) VEGFA","0.004285196681163228","false","interacts with","SPON1 (interacts with) VEGFA"
"6585","interacts with","0.16521098514301216","SPON1 (interacts with) FBLN1","1.1835311908292567E-6","false","interacts with","SPON1 (interacts with) FBLN1"
"6586","interacts with","0.23036349850135918","SPON1 (interacts with) AGER","0.0","false","interacts with","SPON1 (interacts with) AGER"
"6587","interacts with","0.23151298895512293","SPON1 (interacts with) TEK","1.3609158244776154E-10","false","interacts with","SPON1 (interacts with) TEK"
"6588","interacts with","0.20815765343637402","SPON1 (interacts with) NT-pro-BNP","6.052689173845494E-4","false","interacts with","SPON1 (interacts with) NT-pro-BNP"
"6589","interacts with","0.35770853179877726","SPON1 (interacts with) PGF","0.0","false","interacts with","SPON1 (interacts with) PGF"
"6590","interacts with","0.22632668342483275","SPON1 (interacts with) ESM1","1.3609158244776154E-10","false","interacts with","SPON1 (interacts with) ESM1"
"6591","interacts with","0.25546123070498356","SPON1 (interacts with) MPO","1.4096222855641827E-8","false","interacts with","SPON1 (interacts with) MPO"
"6592","interacts with","0.3428259311183276","SPON1 (interacts with) TNFRSF11B","0.0","false","interacts with","SPON1 (interacts with) TNFRSF11B"
"6593","interacts with","0.34142409361888026","SPON1 (interacts with) TNFRSF10B","8.024779115700653E-5","false","interacts with","SPON1 (interacts with) TNFRSF10B"
"6594","interacts with","0.2627184841343954","SPON1 (interacts with) CXCL16","0.0","false","interacts with","SPON1 (interacts with) CXCL16"
"6595","interacts with","0.2756527077395365","SPON1 (interacts with) IL6R","0.0283586604778856","false","interacts with","SPON1 (interacts with) IL6R"
"6596","interacts with","0.2807443936525129","SPON1 (interacts with) CXCL8","0.004285196681163228","false","interacts with","SPON1 (interacts with) CXCL8"
"6597","interacts with","0.35853596297906554","SPON1 (interacts with) TNFRSF1B","1.4096222855641827E-8","false","interacts with","SPON1 (interacts with) TNFRSF1B"
"6598","interacts with","0.16219764058512803","GH1 (interacts with) CP","1.0023796854330413E-5","false","interacts with","GH1 (interacts with) CP"
"6599","interacts with","0.10496930828358483","GH1 (interacts with) SELPLG","0.004285196681163228","false","interacts with","GH1 (interacts with) SELPLG"
"6600","interacts with","0.1553087438821407","GH1 (interacts with) CCL13","6.052689173845494E-4","false","interacts with","GH1 (interacts with) CCL13"
"6601","interacts with","0.12332130095904373","GH1 (interacts with) CCL28","0.004285196681163228","false","interacts with","GH1 (interacts with) CCL28"
"6602","interacts with","0.1811127404612296","GH1 (interacts with) LRG1","0.0","false","interacts with","GH1 (interacts with) LRG1"
"6603","interacts with","0.13716150341264663","GH1 (interacts with) NT-pro-BNP","1.3609158244776154E-10","false","interacts with","GH1 (interacts with) NT-pro-BNP"
"6604","interacts with","0.1537492000496563","GH1 (interacts with) ESM1","0.0","false","interacts with","GH1 (interacts with) ESM1"
"6605","interacts with","0.14883541182248217","GH1 (interacts with) TNFRSF11B","1.432542973134332E-9","false","interacts with","GH1 (interacts with) TNFRSF11B"
"6606","interacts with","0.32041610220698474","APOC1 (interacts with) C7","0.0283586604778856","false","interacts with","APOC1 (interacts with) C7"
"6607","interacts with","0.2946341508181469","APOC1 (interacts with) SLC4A1","0.004285196681163228","false","interacts with","APOC1 (interacts with) SLC4A1"
"6608","interacts with","0.4602248909268565","APOC1 (interacts with) APOM","0.0","false","interacts with","APOC1 (interacts with) APOM"
"6609","interacts with","0.5809519399864774","APOC1 (interacts with) APOC3","0.0","false","interacts with","APOC1 (interacts with) APOC3"
"6610","interacts with","0.5588277413052978","APOC1 (interacts with) APOC2","0.0","false","interacts with","APOC1 (interacts with) APOC2"
"6611","interacts with","0.38992076600733566","APOC1 (interacts with) APOA1","0.0","false","interacts with","APOC1 (interacts with) APOA1"
"6612","interacts with","0.4501101388172598","APOC1 (interacts with) APOA2","0.0","false","interacts with","APOC1 (interacts with) APOA2"
"6613","interacts with","0.3026408770431446","APOC1 (interacts with) PF4","0.0283586604778856","false","interacts with","APOC1 (interacts with) PF4"
"6614","interacts with","0.8573477416762983","HSPB1 (interacts with) CD40LG","0.0","false","interacts with","HSPB1 (interacts with) CD40LG"
"6615","interacts with","0.8253335041896506","HSPB1 (interacts with) EGF","0.0","false","interacts with","HSPB1 (interacts with) EGF"
"6616","interacts with","0.917472417870818","HSPB1 (interacts with) SIRT2","0.0","false","interacts with","HSPB1 (interacts with) SIRT2"
"6617","interacts with","1.1147866526532972","IKBKG (interacts with) EGF","0.0","false","interacts with","IKBKG (interacts with) EGF"
"6618","interacts with","1.001701467213743","IKBKG (interacts with) CD40","0.0","false","interacts with","IKBKG (interacts with) CD40"
"6619","interacts with","0.611900055678927","IKBKG (interacts with) TNFSF14","8.024779115700653E-5","false","interacts with","IKBKG (interacts with) TNFSF14"
"6620","interacts with","0.7256006562941021","SIRT2 (interacts with) CXCL1","0.0283586604778856","false","interacts with","SIRT2 (interacts with) CXCL1"
"6621","interacts with","0.4306715733443195","SIRT2 (interacts with) CXCL6","0.004285196681163228","false","interacts with","SIRT2 (interacts with) CXCL6"
"6622","interacts with","0.7589242407093214","SIRT2 (interacts with) ITGB1BP2","0.0","false","interacts with","SIRT2 (interacts with) ITGB1BP2"
"6623","interacts with","0.8732318509247857","SIRT2 (interacts with) CD40LG","0.0","false","interacts with","SIRT2 (interacts with) CD40LG"
"6624","interacts with","0.6806762033951559","SIRT2 (interacts with) CASP8","0.0","false","interacts with","SIRT2 (interacts with) CASP8"
"6625","interacts with","0.9727577539429001","SIRT2 (interacts with) SRC","0.0","false","interacts with","SIRT2 (interacts with) SRC"
"6626","interacts with","0.8237056699308192","SIRT2 (interacts with) CD274","0.0","false","interacts with","SIRT2 (interacts with) CD274"
"6627","interacts with","0.6456584383535329","SIRT2 (interacts with) F2R","0.0","false","interacts with","SIRT2 (interacts with) F2R"
"6628","interacts with","0.7400559682412909","SIRT2 (interacts with) STAMBP","0.0","false","interacts with","SIRT2 (interacts with) STAMBP"
