SUID,Matching.Attribute,name,selected,shared name
6384,S100A12,S100A12,FALSE,S100A12
6385,IL6,IL6,FALSE,IL6
6516,miR-148a,miR-148a,FALSE,miR-148a
6391,TNFSF12,TNFSF12,FALSE,TNFSF12
6265,XPNPEP2,XPNPEP2,FALSE,XPNPEP2
6269,NT-pro-BNP,NT-pro-BNP,FALSE,NT-pro-BNP
6399,SERPINA6,SERPINA6,FALSE,SERPINA6
6529,miR-21,miR-21,FALSE,miR-21
6530,miR-122,miR-122,FALSE,miR-122
6274,NPPB,NPPB,FALSE,NPPB
6531,miR-378,miR-378,FALSE,miR-378
6276,GH1,GH1,FALSE,GH1
6406,APOL1,APOL1,FALSE,APOL1
6408,CX3CL1,CX3CL1,FALSE,CX3CL1
6410,SHBG,SHBG,FALSE,SHBG
6414,IGHG4,IGHG4,FALSE,IGHG4
6417,CCL23,CCL23,FALSE,CCL23
6418,CXCL9,CXCL9,FALSE,CXCL9
6292,AFM,AFM,FALSE,AFM
6421,FLT3LG,FLT3LG,FALSE,FLT3LG
6423,LRG1,LRG1,FALSE,LRG1
6429,CP,CP,FALSE,CP
6304,CCL4,CCL4,FALSE,CCL4
6433,ALB,ALB,FALSE,ALB
6437,APOA4,APOA4,FALSE,APOA4
6441,FBLN1,FBLN1,FALSE,FBLN1
6314,CST5,CST5,FALSE,CST5
6443,ABCF1,ABCF1,FALSE,ABCF1
6444,SELE,SELE,FALSE,SELE
6445,CTSD,CTSD,FALSE,CTSD
6451,TNFRSF10B,TNFRSF10B,FALSE,TNFRSF10B
6324,IL15RA,IL15RA,FALSE,IL15RA
6452,AGER,AGER,FALSE,AGER
6453,GSN,GSN,FALSE,GSN
6325,VTN,VTN,FALSE,VTN
6327,PRAP1,PRAP1,FALSE,PRAP1
6333,IGHG3,IGHG3,FALSE,IGHG3
6334,KLK11,KLK11,FALSE,KLK11
6463,APOD,APOD,FALSE,APOD
6337,CCL28,CCL28,FALSE,CCL28
6466,TNFRSF9,TNFRSF9,FALSE,TNFRSF9
6343,IL10RB,IL10RB,FALSE,IL10RB
6474,FGF5,FGF5,FALSE,FGF5
6346,AZGP1,AZGP1,FALSE,AZGP1
6476,IGHA2,IGHA2,FALSE,IGHA2
6348,SELPLG,SELPLG,FALSE,SELPLG
6478,AHSG,AHSG,FALSE,AHSG
6479,PLAT,PLAT,FALSE,PLAT
6351,CHI3L1,CHI3L1,FALSE,CHI3L1
6481,IL10,IL10,FALSE,IL10
6482,FGA,FGA,FALSE,FGA
6483,APOA2,APOA2,FALSE,APOA2
6355,APOC3,APOC3,FALSE,APOC3
6485,KITLG,KITLG,FALSE,KITLG
6486,FGF21,FGF21,FALSE,FGF21
6488,CFI,CFI,FALSE,CFI
6489,FGG,FGG,FALSE,FGG
6495,CCL19,CCL19,FALSE,CCL19
6369,TF,TF,FALSE,TF
6498,APOC2,APOC2,FALSE,APOC2
6370,PSPHP1,PSPHP1,FALSE,PSPHP1
6371,CSTB,CSTB,FALSE,CSTB
6376,CCL7,CCL7,FALSE,CCL7
6509,ESM1,ESM1,FALSE,ESM1
6382,FCN3,FCN3,FALSE,FCN3
