"SUID","Matching.Attribute","name","selected","shared name"
"23486","FCN3","FCN3","false","FCN3"
"23487","CFB","CFB","false","CFB"
"23359","ESM1","ESM1","false","ESM1"
"23362","CXCL8","CXCL8","false","CXCL8"
"23492","CCL7","CCL7","false","CCL7"
"23364","CCL3","CCL3","false","CCL3"
"23497","CSTB","CSTB","false","CSTB"
"23498","PSPHP1","PSPHP1","false","PSPHP1"
"23370","APOC2","APOC2","false","APOC2"
"23499","TF","TF","false","TF"
"23373","CCL19","CCL19","false","CCL19"
"23379","FGG","FGG","false","FGG"
"23380","CFI","CFI","false","CFI"
"23381","C1QB","C1QB","false","C1QB"
"23382","FGF21","FGF21","false","FGF21"
"23383","KITLG","KITLG","false","KITLG"
"23513","APOC3","APOC3","false","APOC3"
"23385","APOA2","APOA2","false","APOA2"
"23386","FGA","FGA","false","FGA"
"23387","IL10","IL10","false","IL10"
"23517","CHI3L1","CHI3L1","false","CHI3L1"
"23389","PLAT","PLAT","false","PLAT"
"23390","AHSG","AHSG","false","AHSG"
"23520","SELPLG","SELPLG","false","SELPLG"
"23392","IGHA2","IGHA2","false","IGHA2"
"23522","AZGP1","AZGP1","false","AZGP1"
"23394","FGF5","FGF5","false","FGF5"
"23525","IL10RB","IL10RB","false","IL10RB"
"23402","TNFRSF9","TNFRSF9","false","TNFRSF9"
"23531","CCL28","CCL28","false","CCL28"
"23405","APOD","APOD","false","APOD"
"23534","KLK11","KLK11","false","KLK11"
"23535","IGHG3","IGHG3","false","IGHG3"
"23541","PRAP1","PRAP1","false","PRAP1"
"23543","VTN","VTN","false","VTN"
"23415","GSN","GSN","false","GSN"
"23416","AGER","AGER","false","AGER"
"23544","IL15RA","IL15RA","false","IL15RA"
"23417","TNFRSF10B","TNFRSF10B","false","TNFRSF10B"
"23423","CTSD","CTSD","false","CTSD"
"23424","SELE","SELE","false","SELE"
"23425","ABCF1","ABCF1","false","ABCF1"
"23554","CST5","CST5","false","CST5"
"23427","FBLN1","FBLN1","false","FBLN1"
"23431","APOA4","APOA4","false","APOA4"
"23435","ALB","ALB","false","ALB"
"23564","CCL4","CCL4","false","CCL4"
"23439","CP","CP","false","CP"
"23445","LRG1","LRG1","false","LRG1"
"23447","FLT3LG","FLT3LG","false","FLT3LG"
"23576","AFM","AFM","false","AFM"
"23450","CXCL9","CXCL9","false","CXCL9"
"23451","CCL23","CCL23","false","CCL23"
"23454","IGHG4","IGHG4","false","IGHG4"
"23458","SHBG","SHBG","false","SHBG"
"23460","CX3CL1","CX3CL1","false","CX3CL1"
"23462","APOL1","APOL1","false","APOL1"
"23464","GDF15","GDF15","false","GDF15"
"23592","GH1","GH1","false","GH1"
"23337","miR-378","miR-378","false","miR-378"
"23594","NPPB","NPPB","false","NPPB"
"23338","miR-122","miR-122","false","miR-122"
"23339","miR-21","miR-21","false","miR-21"
"23469","SERPINA6","SERPINA6","false","SERPINA6"
"23599","NT-pro-BNP","NT-pro-BNP","false","NT-pro-BNP"
"23603","XPNPEP2","XPNPEP2","false","XPNPEP2"
"23477","TNFSF12","TNFSF12","false","TNFSF12"
"23352","miR-148a","miR-148a","false","miR-148a"
"23483","IL6","IL6","false","IL6"
"23484","S100A12","S100A12","false","S100A12"
