,103_AM_(CVD),105_CD40-L_(CVD),106_GDF-15_(CVD),107_PlGF_(CVD),108_SELE_(CVD),109_EGF_(CVD),111_SRC_(CVD),112_IL-1ra_(CVD),113_IL-6_(CVD),114_CSTB_(CVD),116_KLK6_(CVD),117_Gal-3_(CVD),118_PAR-1_(CVD),121_hK11_(CVD),122_TIE2_(CVD),123_TF_(CVD),124_TNF-R1_(CVD),125_PDGF subunit B_(CVD),126_IL27-A_(CVD),129_LOX-1_(CVD),130_TRAIL-R2_(CVD),134_IL-6RA_(CVD),135_TNF-R2_(CVD),136_MMP-3_(CVD),137_HSP 27_(CVD),139_PRL_(CVD),140_MPO_(CVD),141_GH_(CVD),143_RETN_(CVD),144_FAS_(CVD),145_PAPPA_(CVD),148_PTX3_(CVD),149_REN_(CVD),150_CHI3L1_(CVD),151_ST2_(CVD),152_TIM_(CVD),154_mAmP_(CVD),157_PSGL-1_(CVD),158_MB_(CVD),159_TM_(CVD),160_IL-16_(CVD),162_U-PAR_(CVD),164_CTSD_(CVD),165_RAGE_(CVD),166_CCL3_(CVD),167_MMP-7_(CVD),170_CXCL16_(CVD),171_Dkk-1_(CVD),172_SIRT2_(CVD),173_GAL_(CVD),174_AGRP_(CVD),177_t-PA_(CVD),178_HB-EGF_(CVD),179_ESM-1_(CVD),181_VEGF-D_(CVD),182_MMP-12_(CVD),183_SPON1_(CVD),185_CTSL1_(CVD),187_FABP4_(CVD),188_BNP_(CVD),189_LEP_(CVD),191_CA-125_(CVD),192_NEMO_(CVD),193_FS_(CVD),194_PECAM-1_(CVD),195_NT-pro-BNP_(CVD),196_ECP_(CVD),101_IL-8_(INF),102_VEGF-A_(INF),103_BDNF_(INF),105_MCP-3_(INF),106_GDNF_(INF),107_CDCP1_(INF),108_CD244_(INF),109_IL-7_(INF),110_OPG_(INF),111_LAP TGF-beta-1_(INF),112_uPA_(INF),114_IL-17C_(INF),115_MCP-1_(INF),116_IL-17A_(INF),117_CXCL11_(INF),118_AXIN1_(INF),120_TRAIL_(INF),122_CXCL9_(INF),123_CST5_(INF),126_OSM_(INF),128_CXCL1_(INF),130_CCL4_(INF),131_CD6_(INF),132_SCF_(INF),133_IL-18_(INF),134_SLAMF1_(INF),135_TGF-alpha_(INF),136_MCP-4_(INF),137_CCL11_(INF),138_TNFSF14_(INF),139_FGF-23_(INF),140_IL-10RA_(INF),141_FGF-5_(INF),142_MMP-1_(INF),143_LIF-R_(INF),144_FGF-21_(INF),145_CCL19_(INF),148_IL-15RA_(INF),149_IL-10RB_(INF),151_IL-18R1_(INF),152_PD-L1_(INF),153_Beta-NGF_(INF),154_CXCL5_(INF),155_TRANCE_(INF),156_HGF_(INF),157_IL-12B_(INF),161_MMP-10_(INF),162_IL-10_(INF),164_CCL23_(INF),165_CD5_(INF),166_MIP-1 alpha_(INF),167_Flt3L_(INF),168_CXCL6_(INF),169_CXCL10_(INF),170_4E-BP1_(INF),173_CCL28_(INF),174_DNER_(INF),175_EN-RAGE_(INF),176_CD40_(INF),179_FGF-19_(INF),183_MCP-2_(INF),184_CASP-8_(INF),185_CCL25_(INF),186_CX3CL1_(INF),187_TNFRSF9_(INF),188_NT-3_(INF),189_TWEAK_(INF),190_CCL20_(INF),191_ST1A1_(INF),192_STAMPB_(INF),194_ADA_(INF),195_TNFB_(INF),196_CSF-1_(INF),miR-16-5p,miR-19b-3p,miR-20b-5p,miR-21-5p,miR-24-3p,miR-26a-5p,miR-27b-3p,miR-28-5p,miR-29a-3p,miR-30b-5p,miR-92a-3p,miR-93-5p,miR-99b-5p,miR-122-5p,miR-126-3p,miR-126-5p(*),miR-130a-3p,miR-140-5p,miR-143-3p,miR-145-5p,miR-150-5p,miR-191-5p,miR-192-5p,miR-197-3p,miR-221-3p,miR-222-3p,miR-223-3p,miR-223-5p(*),miR-320a,miR-324-5p,miR-375,miR-486-5p,hsa-miR-574-3p,miR-885-5p,let-7b-5p,let-7d-5p,RNY4-3p,RNY4-5p,RNY5-5p
103_AM_(CVD),0,0.176557338,0.585900748,0.633865776,0.212707451,0.065053019,0.153187172,0.478729317,0.495743191,0.675526583,0.349570497,0.378815229,0.599048369,0.491109965,0.340823648,0.425278941,0.647239324,0.141887372,0.265961112,0.378281331,0.669146536,0.336685785,0.576545728,0.193762781,0.283496452,0.279228689,0.327766149,0.014569846,0.534623255,0.489034352,0.176075323,0.24977529,0.405409118,0.441161933,0.299939758,0.409041363,0,0.0592799,0.43349096,0.408872306,0.474531787,0.588625864,0.321005101,0.263254331,0.490225522,0.553969435,0.471556192,0.206684164,0.289844491,0,0.257181321,0.410004119,0.525045725,0.179676955,0.186353474,0.276839512,0.433591027,0.410430492,0.640046932,0.360656884,0.414891242,0.228717727,0.181531612,0.35493993,0.316443663,0.425297897,0.351256719,0.293550077,0.52576484,0,0.192567403,0.237831404,0.127317992,0.13373875,0.046146263,0.28270959,0.255555388,0.093591688,0.152318079,0.270682284,0.199222605,0.251931534,0.126658517,0,0.385042379,0.283992126,0.241078306,0.163837469,0.159747775,0.014741079,0,0.178822656,0.235889681,0.487070615,0.103438653,0.139011223,0.342769049,0.363404602,0,0.246387396,0.13912341,0.2634728,0.337953093,0.210182779,0.325715425,0.314418705,0.27691192,0.354819352,0.236421151,0,0,0.354730783,0.281063146,0.199078762,0.15643256,0.226842068,0.178880148,0.40607043,0.167977508,0.179661105,0.3752787,0.436525289,0.012324865,0,0.200630733,0.447208527,0.006123509,0.234482897,0.400983518,0.225734183,0.31679918,0.299527681,0.058278568,0,0.124599091,0,0.161823388,0.033317489,0.048562166,0.288010344,0.110060569,0.050720754,0.098002694,0.05857015,0.097611262,0.153610748,0.141284816,0.000533326,0.033180534,0.134935555,0.026117206,0.101801504,0.031569052,0.115326853,0.11470586,0.06841438,0.088747206,0.102591215,0.002685851,0.147328495,0.016339555,0.043800716,0.085026634,0.11841287,0.077492611,0.047521645,0.122928641,0.030435296,0.046985921,0.063379697,0.114498378,0.080904143,0.118751706,0.071150001,0.070282248,0.121697598,0.05303543,0.099669228,0.218749614
105_CD40-L_(CVD),0.176557338,0,0.107714886,0.24623498,0.188804417,0.760003601,0.808134301,0.132483324,0,0.242389529,0.166924048,0.259740694,0.434711495,0.166142479,0.216682883,0.179656642,0.080276438,0.7399899,0.087135725,0.163059423,0.232516406,0.225043238,0.130462943,0.030477307,0.689765048,0.051802614,0.234153965,0.13358987,0.197484549,0.246362371,0.099490966,0.129648573,0.072718776,0.042321414,0.078369149,0.14286536,0.168605837,0.091409496,0.093191669,0.157990109,0.24631135,0.224226571,0.16205752,0.149928408,0.124082022,0.204877773,0.286522689,0.33330636,0.697446527,0.09198698,0.125112523,0.058409719,0.34946681,0.195100519,0.195237009,0.130208161,0.202430372,0.155147861,0.196909665,0.069065411,0.108114283,0.066851549,0.758829134,0.142788666,0.253912884,0.035049731,0.246777692,0.002076927,0,0,0,0.078059354,0,0.002299211,0.29684233,0,0.138543168,0,0.094032067,0,0.078546049,0.046654006,0.687840293,0,0,0.008399352,0.048989289,0.554844073,0.033788171,0.006795267,0,0,0,0,0,0,0.218080609,0,0,0.089343336,0.095974446,0,0.10077988,0.014676931,0.045695774,0,0.124286432,0.07372068,0,0.48861476,0.072672629,0,0.100386657,0,0.020799455,0,0,0.039480791,0,0.144875992,0.018744016,0.103022545,0,0,0,0.011899678,0,0.007959984,0.346851274,0,0,0,0.090785416,0,0.010830504,0.430883576,0.586384379,0,0.016128602,0,0.211427528,0.503965085,0.475588974,0.485395613,0.566459822,0.496929633,0.260884482,0.009015476,0.41125809,0.487163435,0.359740389,0.458948181,0.300726621,0.03287535,0.502603912,0.244853056,0.494034311,0.420370503,0.271418046,0.391004581,0.206525648,0.512037857,0.023375367,0.405029293,0.567368289,0.462091062,0.547764049,0.280994752,0.502620221,0.367880466,0.022778521,0.189023782,0.340897395,0.029286235,0.300624209,0.535374397,0.356296662,0.47196073,0.125354558
106_GDF-15_(CVD),0.585900748,0.107714886,0,0.628506287,0.214435937,0.013465691,0.036447224,0.335442095,0.46626818,0.606770309,0.37468731,0.308319902,0.56741446,0.502668323,0.325620303,0.463420933,0.640696435,0.121537103,0.311662201,0.422296509,0.745411874,0.252972914,0.622423333,0.340754968,0.201309448,0.235894712,0.305541644,0.071457928,0.463842644,0.437649644,0.245031618,0.347124408,0.349170229,0.44764298,0.291636373,0.449299368,0,0.067009298,0.452398958,0.439680507,0.379051722,0.666511231,0.344838447,0.243144596,0.540386119,0.637071027,0.365519993,0.228087933,0.249667907,0.064529066,0.345202977,0.204388217,0.464923802,0.213621106,0.218117594,0.465606557,0.52656289,0.483880591,0.342956442,0.440493133,0.037006916,0.175974989,0.065463542,0.42301376,0.277857584,0.510982274,0.330053394,0.446580778,0.484884058,0.038293709,0.302786317,0.303775497,0.34140789,0.13220729,0.083010071,0.29557721,0.261780363,0.134680995,0.255144166,0.300790638,0.277706598,0.261321049,0.02359141,0,0.439782438,0.343691717,0.324219054,0.181168636,0.213009516,0.01188109,0,0.11297485,0.430119384,0.547495225,0.166182828,0.369102205,0.277842668,0.326274157,0.116355979,0.331908571,0.245646581,0.267701718,0.242194581,0.222817635,0.406575959,0.277861624,0.173503878,0.430599894,0.315775203,0.005705217,0,0.345478938,0.197984862,0.316324018,0.218434185,0.222757967,0.180174803,0.4475339,0.15553626,0.194223338,0.338540131,0.404995176,0.198987707,0,0.217478346,0.427784655,0.095171007,0.185949476,0.323757873,0.332664459,0.332799021,0.379562623,0.171793621,0,0.306182757,0,0.126395635,0.117349828,0,0.302316504,0.124377507,0.081118304,0.13195507,0.024002776,0.105226608,0.164376806,0.144641271,0.004171203,0.070401171,0.139738582,0.10260218,0.130831413,0.008273082,0.104615367,0.142735872,0.08586692,0.095252485,0.12490856,0.01696812,0.133370032,0.075103268,0.118984634,0.061346111,0.13726256,0.091510105,0.099792435,0.201977289,0.101934664,0.03323286,0.044701948,0.078222575,0.04685379,0.206447764,0.111523394,0.054587552,0.096833744,0.13178584,0.18167691,0.256009703
107_PlGF_(CVD),0.633865776,0.24623498,0.628506287,0,0.210381359,0.029529861,0.100672515,0.312793082,0.335539986,0.660781309,0.545289401,0.466452155,0.672472365,0.661054162,0.541873761,0.563759218,0.760213398,0.133359925,0.375409843,0.471248844,0.702989377,0.415043828,0.747239184,0.378773586,0.318873861,0.307568156,0.421153819,0.064844184,0.575617778,0.678399624,0.325506809,0.355575629,0.328678561,0.3623424,0.301709576,0.4349497,0,0.101753985,0.557771359,0.659348673,0.554739516,0.628849063,0.357699852,0.400257533,0.55935192,0.588278427,0.553172007,0.427440325,0.353997684,0.180222972,0.43630713,0.276062905,0.663019453,0.358248666,0.298751695,0.379150857,0.575812318,0.491571143,0.413663712,0.357625573,0.119030767,0.250459652,0.160229153,0.510259119,0.454257656,0.448692751,0.437352862,0.248022084,0.431717412,0.025978561,0.201534937,0.21776372,0.185857179,0.201784611,0.143109308,0.233168042,0.269634067,0.165472726,0.234981407,0.259249476,0.210463667,0.275337885,0.040938166,0.012070036,0.378417447,0.416392246,0.225412229,0.115708668,0.111014221,0,0.099500924,0.126190529,0.332343273,0.431713061,0.141480578,0.153184375,0.173438928,0.287531762,0.048369123,0.263350165,0.127107292,0.223936085,0.143234236,0.217643985,0.311397759,0.373034651,0.138557814,0.493961253,0.24750155,0,0,0.258325876,0.333153606,0.210367375,0.212781968,0.306803048,0.234077035,0.350643264,0.164703888,0.17715508,0.352060673,0.394781507,0.090532498,0,0.161300989,0.414674326,0.073658469,0.184056905,0.238593351,0.24804881,0.397507866,0.413225841,0.054358492,0.075825759,0.159316741,0,0.138227779,0.145418307,0.024731928,0.313084271,0.094284876,0.06184648,0.11552851,0.101571219,0.151132319,0.159824826,0.101285337,0.029408111,0.087919269,0.132732409,0.100011051,0.103166051,0.057813075,0.150012286,0.141007194,0.132574848,0.059622399,0.090735683,0.005208856,0.156209717,0.130083589,0.076221743,0.092872094,0.198974668,0.082057631,0.072977856,0.171961721,0.105224539,0.010534226,0.039256459,0.088680783,0.057893716,0.189703909,0.1537763,0.046129316,0.100950721,0.1764267,0.157531365,0.283780769
108_SELE_(CVD),0.212707451,0.188804417,0.214435937,0.210381359,0,0.105594755,0.089431139,0.328888329,0.204274166,0.27463089,0.121196503,0.248033272,0.259224925,0.107510012,0.419765001,0.209679026,0.179662659,0.149529755,0.014756307,0.239440874,0.232955477,0.259528234,0.194660587,0.117252248,0.080328462,0.051947041,0.286317906,0.045822444,0.243608882,0.300097627,0.240880638,0.131481812,0.184278482,0.224935201,0.279880678,0.275001325,0,0.075845648,0.187748196,0.22092786,0.235862392,0.311411101,0.396495076,0.116549603,0.24760721,0.267987002,0.252744189,0.164172787,0.18546468,0.08287613,0.129136911,0.338821376,0.192580934,0.107179977,0.190982659,0.200681077,0.16004145,0.173704634,0.225123526,0.001791445,0.12454999,0.121437539,0.177269442,0.26295009,0.639854256,0,0.282629102,0.138897482,0.083160793,0.161969983,0.21495643,0.170363878,0.119303932,0.073654429,0.005014382,0.018320805,0.099212532,0.053269665,0.046670134,0.007095588,0.211631274,0.146855605,0.153820717,0.030239031,0.073717515,0.047492195,0.221825045,0.065691956,0.109905404,0.047661253,0,0.127577793,0.194055688,0.075726002,0.034699781,0.038496422,0.300843158,0.070157057,0.035467948,0.110500109,0.034453032,0.249229725,0.156399571,0.202574891,0.128907392,0,0.267438809,0.176914546,0.035774724,0.037889494,0.082776996,0.117138818,0.197580865,0.089469364,0.13938749,0,0.021761928,0.194132905,0.025706805,0.120544514,0.183685849,0.080150703,0,0,0.096191566,0.022339955,0,0.026921904,0.120805125,0,0,0.075768577,0.07935872,0,0.167703101,0.022317106,0.140309608,0.012979962,0.067258844,0.015196663,0.024416683,0.045245921,0.060339169,0.105624363,0.099715739,0.005373763,0.052031925,0.047677456,0.090370203,0.004302991,0.039460318,0.046761123,0.016226648,0.17541942,0.057369317,0.022462856,0.002833597,0.022949168,0.019798285,0.065953666,0.09375459,0.060104922,0.114446595,0.036127886,0.048295217,0.050104537,0.084676716,0.095643883,0.117124008,0.053413632,0.058052954,0.079863058,0.06474121,0.120625464,0.053462041,0.020554,0.042324287,0.02620678,0.099796553
109_EGF_(CVD),0.065053019,0.760003601,0.013465691,0.029529861,0.105594755,0,0.784988678,0.065319657,0,0.118642309,0.002327179,0.128129405,0.298542549,0.029633968,0,0.018631882,0,0.799811955,0,0.063883603,0.079956474,0.07756046,0,0,0.630335151,0,0.066341149,0.116546806,0.081211662,0.062035471,0,0,0.043111934,0,0.021235178,0.000962601,0.117828064,0.053068599,0,0.00052877,0.135742265,0.117206254,0.091930017,0.050052605,0.003807673,0.026121057,0.12982122,0.276454782,0.631982217,0.069731617,0,0,0.233530707,0.063846622,0.098034103,0.053614617,0.046608063,0.053995617,0.094719151,0.01080517,0.068460269,0.004789037,0.721711226,0.047318787,0.113907151,0,0.183093527,0,0,0.02466593,0,0.009139422,0,0,0.252409183,0,0.107601688,0,0.102379418,0,0.075153228,0.013391729,0.699947014,0,0,0,0.064148998,0.591522835,0,0,0,0,0,0,0,0,0.188899588,0,0,0.107730807,0.220365061,0,0.046533479,0.002312884,0.025588885,0,0.094156974,0,0,0.588764156,0.04494981,0,0,0,0,0,0,0,0,0.050346591,0,0.074545709,0,0,0,0,0,0,0.351609786,0,0,0,0.04469641,0,0,0.48690131,0.585765875,0,0,0,0.269118036,0.5423158,0.539480705,0.550579864,0.646732934,0.529771394,0.200640198,0.03199066,0.466361342,0.518806924,0.441234572,0.534451717,0.281138748,0.041504392,0.563590859,0.356789856,0.559598461,0.431949653,0.202845248,0.435965485,0.195313455,0.565305369,0.004356015,0.430365902,0.590160058,0.482538537,0.597557887,0.329445039,0.530957342,0.298877612,0.021741115,0.26950985,0.436589447,0.028639698,0.347043041,0.565813642,0.431467904,0.544933949,0.145091887
111_SRC_(CVD),0.153187172,0.808134301,0.036447224,0.100672515,0.089431139,0.784988678,0,0.095523727,0,0.172380766,0.067076734,0.180324593,0.397641185,0.113393764,0.087002184,0.134201482,0.040161823,0.788073041,0.028123951,0.070986805,0.170385642,0.124364151,0.078303504,0,0.801509364,0.069315189,0.132896882,0.144433486,0.12007712,0.181999938,0.028541705,0.053654737,0.072990942,0,9.8047E-05,0.07608556,0.121499574,0.092017343,0.041832195,0.062341888,0.203606016,0.162611804,0.086320672,0.100502837,0.056509412,0.115291929,0.197552585,0.311307305,0.758162335,0.064397922,0.035756078,0.016710099,0.266962403,0.090174183,0.087474239,0.040105574,0.122067583,0.12599661,0.155010443,0.065715681,0.145341548,0.073208234,0.835445746,0.039480621,0.166213594,0.010591718,0.163782153,0,0,0,0,0.021390589,0,0,0.321445769,0,0.165749619,0,0.058934678,0,0.019504129,0.028674941,0.79575029,0,0,0,0,0.625127317,0,0,0,0,0,0,0,0,0.203522731,0,0,0.110577353,0.181775564,0,0.074688662,0,0.039996077,0,0.073717204,0,0,0.60815664,0.015329672,0,0.038294734,0,0.025083026,0,0,0,0,0.129251895,0,0.098838679,0,0,0,0.033214936,0,0,0.348956596,0,0,0,0,0,0,0.542000538,0.676737953,0,0,0,0.246408239,0.534776987,0.517710413,0.539718058,0.686794706,0.614714974,0.332110641,0.094141372,0.473055895,0.590671127,0.411522389,0.543235129,0.377380847,0.059410637,0.623822602,0.343215086,0.559210478,0.473539165,0.255143327,0.493172461,0.250151006,0.642440699,0.018095866,0.462806148,0.638819749,0.532081263,0.665896078,0.361945344,0.585478815,0.381004726,0.033692911,0.194210611,0.423219382,0.074510746,0.341751988,0.64362953,0.471775915,0.553810366,0.11201364
112_IL-1ra_(CVD),0.478729317,0.132483324,0.335442095,0.312793082,0.328888329,0.065319657,0.095523727,0,0.433857043,0.578041761,0.153638717,0.357321959,0.347969736,0.143114591,0.259025724,0.164236184,0.375784628,0.079525751,0.225203082,0.358828868,0.398860635,0.272368817,0.372060086,0,0.136691347,0.117340505,0.365627829,0.020277394,0.397657034,0.299146059,0.095871345,0.068785031,0.216632128,0.240838083,0.119953124,0.249479271,0,0.093691755,0.145971473,0.250167309,0.400418199,0.463786706,0.341374327,0.142590638,0.43990457,0.333361199,0.311528882,0.098889645,0.207465121,0,0.20327132,0.472848362,0.181858539,0.094647675,0.066283035,0.269738174,0.241668452,0.386025335,0.668640296,0.187786803,0.489213665,0.144628654,0.1290673,0.236313315,0.268764852,0.217736594,0.385058538,0.225811253,0.311869172,0.029979948,0.288948561,0.060029655,0.222693017,0.158941024,0.049715112,0.145655112,0.111796732,0.027485324,0.090992038,0.132830378,0.252528914,0.299489146,0.085851857,0.02645451,0.261835368,0.025260232,0.247091337,0.092386223,0.243477116,0.096113563,0,0.209201688,0.160580717,0.260143242,0,0.034081666,0.406775871,0.240121454,0.030820253,0.129106074,0.039822154,0.130018557,0.268213862,0.305894054,0.203905968,0.096053896,0.349960509,0.196699841,0.153554188,0.058669553,0,0.253933495,0.311774388,0.085515785,0.200466048,0.115229776,0.159629995,0.438167382,0.076475883,0.149302895,0.403555703,0.258307852,0,0,0.249678162,0.180677935,0,0.086608132,0.322504647,0.021041881,0.072075422,0.205173836,0.03905394,0,0.226090633,0,0.106247676,0.022435982,0.186357514,0.204200824,0.095031499,0.053513683,0.071849446,0.098993818,0.048799368,0.076839693,0.032990389,0.041107315,0.050641832,0.069314086,0.052006872,0.057418728,0.010110553,0.112502694,0.011667117,0.0329873,0.116888243,0.04807643,0.025556082,0.104326396,0.152366267,0.063729413,0.003349593,0.042562122,0.035205381,0.001466133,0.014749872,0.0856737,0.047420407,0.002585638,0.023867557,0.062705494,0.023055403,0.025646858,0.043343765,0.121431278,0.028560074,0.059649844,0.0050515
113_IL-6_(CVD),0.495743191,0,0.46626818,0.335539986,0.204274166,0,0,0.433857043,0,0.446480089,0.082265162,0.196632715,0.208576114,0.187394543,0.152228145,0.129761242,0.383932629,0,0.309065432,0.411817756,0.422368297,0.215444065,0.384078068,0.190587674,0.078033448,0.125160026,0.310066412,0.089358109,0.339005971,0.153880494,0.170283266,0.279522299,0.236657023,0.348464788,0.29174421,0.239647534,0,0,0.225683217,0.179779197,0.28367763,0.48959653,0.234628647,0.027248831,0.4097005,0.362779339,0.223689336,0.015919508,0.114622848,0,0.076906917,0.279343051,0.155040898,0.152080842,0.042622165,0.337278107,0.242160086,0.334003243,0.306361759,0.256395901,0.10292278,0.144886071,0,0.326670384,0.204586176,0.326491383,0.351745555,0.360571961,0.357032946,0.102090426,0.452216871,0.165245071,0.288973411,0.023133343,0.074517429,0.328724244,0.166092706,0.108350637,0.127953225,0.249354964,0.282872639,0.285935974,0.025006384,0,0.396115008,0.200641299,0.336890269,0.122727963,0.216322604,0,0,0.216854015,0.269466866,0.389477335,0.081034525,0.194603095,0.360224212,0.188365069,0.094193536,0.115648022,0.162201903,0.161683232,0.185009406,0.233282404,0.286787343,0.161268048,0.271225816,0.241698286,0.254573053,0,0,0.376937885,0.108655499,0.221454921,0.280284056,0.189609069,0.073219355,0.393427495,0.080798031,0.044918734,0.41440458,0.277064507,0.144757927,0,0.403413061,0.271927839,0,0.191972142,0.256828312,0.052224556,0.104063916,0.195096904,0,0,0.339736895,0,0.01035367,0,0,0.319106936,0.155627566,0.162926775,0.182981959,0.00336229,0.109720243,0.151912271,0.047546699,0.016344017,0.074354275,0.152088317,0.147312365,0.171844005,0.123974734,0.077535154,0.12859294,0.041970452,0.147222644,0.141134863,0.062411375,0.162492947,0.03963775,0.159899416,0.113895079,0.088684558,0.146848389,0.107292981,0.12177413,0.003189319,0.087486297,0.005003796,0.115480261,0.163449791,0.123526595,0.039117468,0.097492541,0.12909896,0.141679491,0.157457921,0.11881235
114_CSTB_(CVD),0.675526583,0.242389529,0.606770309,0.660781309,0.27463089,0.118642309,0.172380766,0.578041761,0.446480089,0,0.454273194,0.545467781,0.596251777,0.508187235,0.37283576,0.509671148,0.670163366,0.212542433,0.32326935,0.55328668,0.750583038,0.369401163,0.658170866,0.231390143,0.335182294,0.247336532,0.384181865,0.098079475,0.594463002,0.510901164,0.191763697,0.298000587,0.307895083,0.375237989,0.211002583,0.411253713,0,0.116782368,0.456573181,0.510256011,0.568876308,0.757855919,0.366508232,0.336135416,0.610419335,0.58573138,0.489673289,0.278261271,0.386455436,0.054685831,0.330115859,0.353645896,0.582391256,0.289217363,0.25973738,0.391594901,0.532265776,0.51424626,0.647907163,0.360564823,0.28591422,0.207922071,0.207706587,0.412939003,0.387878439,0.449754642,0.475929306,0.353479324,0.542906439,0,0.370182523,0.273976238,0.377432005,0.189687693,0.179103589,0.258552425,0.301112282,0.194831198,0.19302847,0.274453132,0.26651315,0.359865276,0.131563206,0.070384228,0.492575542,0.338838157,0.26092047,0.189688315,0.200866294,0.045044594,0.050788191,0.172661078,0.339424927,0.48996945,0.161236349,0.236585236,0.356077648,0.400932829,0.06834304,0.35963159,0.185619753,0.22767368,0.234127379,0.259258488,0.368562761,0.310439644,0.25279298,0.407065817,0.283269903,0.050745305,0,0.320913114,0.295142136,0.262898502,0.181472003,0.287895671,0.288964709,0.514649947,0.198588683,0.176293012,0.498176497,0.494337902,0.16022791,0,0.250517233,0.466870758,0.074397784,0.148228263,0.477240318,0.263957286,0.366512894,0.433469206,0.079889996,0.040135718,0.253493138,0,0.278607776,0.177849023,0.042326004,0.329650019,0.08886032,0.046287006,0.082468959,0.081501125,0.024336879,0.125936282,0.049771637,0.043728301,0.029256774,0.094245556,0.051847629,0.039898922,0.037153365,0.136573766,0.008287495,0.003577131,0.027238774,0.069640116,0.032042828,0.091181994,0.03478599,0.039421193,0.140200193,0.048000404,0.019338747,0.011570505,0.056163317,0.016741094,0.119910072,0.026096614,0.071331545,0.02537865,0.114158884,0.158883913,0.04876609,0.078595972,0.084929995,0.102376014,0.283189786
