miR-28-5p,,miR-122-5p,,,CCL23,CCL23
miR-122-5p,,miR-192-5p,,,CCL4,CCL4
miR-885-5p,,miR-885-5p,,,CCL7,CCL7
,,,,,CCL8,CCL8
ADA,,CCL23,,,CXCL1,CXCL1
AGER,,CCL3,,,MMP1,MMP1
AGRP,,CCL4,,,RNASE3,RNASE3
CCL11,,CCL7,,,RNY5-5p,RNY5-5p
CCL19,,CCL8,,,,
CCL20,,CD244,,,,
CCL23,,CD274,,,,
CCL25,,CD40,,,,
CCL28,,CSTB,,,,
CCL4,,CXCL1,,,,
CCL7,,F3,,,,
CCL8,,FABP4,,,,
CD6,,HGF,,,,
CDCP1,,IL10RA,,,,
CST5,,MMP1,,,,
CTSD,,PLAT,,,,
CXCL1,,RNASE3,,,,
CXCL6,,SPON1,,,,
DKK1,,TNFRSF10B,,,,
ESM1,,TNFRSF1A,,,,
FGF21,,,,,,
FGF5,,,,,,
FLT3LG,,,,,,
GDNF,,,,,,
HAVCR1,,,,,,
IL10,,,,,,
IL17A,,,,,,
IL17C,,,,,,
IL18,,,,,,
IL18R1,,,,,,
IL1RL1,,,,,,
IL27,,,,,,
IL6,,,,,,
IL6R,,,,,,
IL7,,,,,,
LGALS3,,,,,,
LIFR,,,,,,
MB,,,,,,
MMP1,,,,,,
MMP10,,,,,,
MMP12,,,,,,
MPO,,,,,,
MUC16,,,,,,
NPPB,,,,,,
OSM,,,,,,
PAPPA,,,,,,
PRL,,,,,,
PTX3,,,,,,
REN,,,,,,
RNASE3,,,,,,
RNY5-5p,,,,,,
S100A12,,,,,,
SELE,,,,,,
SELPLG,,,,,,
SLAMF1,,,,,,
STAMBP,,,,,,
TNFSF14,,,,,,
