Power SFT.R.sq   slope truncated.R.sq mean.k. median.k. max.k.
1      1  0.00097  0.0459         0.7650 31.3000  3.22e+01 53.400
2      2  0.24300 -0.4580         0.7560  9.9200  9.34e+00 22.600
3      3  0.77800 -0.6990         0.9500  4.2200  3.35e+00 12.200
4      4  0.83100 -1.0300         0.9060  2.1300  1.39e+00  8.380
5      5  0.90500 -1.1100         0.9550  1.2000  6.15e-01  5.970
6      6  0.20200 -2.4000         0.1040  0.7360  2.82e-01  4.370
7      7  0.20900 -2.3400         0.1140  0.4790  1.36e-01  3.270
8      8  0.21000 -2.2200         0.1150  0.3260  7.03e-02  2.500
9      9  0.21400 -2.1600         0.1210  0.2310  3.62e-02  1.950
10    10  0.21500 -2.1300         0.1170  0.1690  1.91e-02  1.550
11    12  0.21900 -2.0900         0.1040  0.0969  6.21e-03  1.020
12    14  0.13200 -1.5300        -0.0964  0.0604  2.18e-03  0.708
13    16  0.87800 -1.0300         0.8500  0.0402  7.61e-04  0.518
14    18  0.12300 -1.8500        -0.1030  0.0282  2.30e-04  0.447
15    20  0.23900 -2.4800         0.0796  0.0206  7.00e-05  0.409
