Representative miRNA,Target gene,Representative transcript,Gene name,3P-seq tags + 5,Total sites,8mer sites,7mer-m8 sites,7mer-A1 sites,6mer sites,Cumulative weighted context++ score,Total context++ score,Aggregate PCT,"Previous TargetScan publication(s)
"
hsa-let-7d-5p,HMGA2,ENST00000403681.2,high mobility group AT-hook 2,8021,7,1,3,3,1,-2.67,-2.69,> 0.99,"2005, 2007, 2009, 2011"
hsa-let-7d-5p,HMGA2,ENST00000403681.2,high mobility group AT-hook 2,8021,7,1,3,3,1,-2.67,-2.69,> 0.99,"2005, 2007, 2009, 2011"
hsa-let-7d-5p,ARID3B,ENST00000346246.5,AT rich interactive domain 3B (BRIGHT-like),11,5,0,1,4,0,-1.68,-1.68,> 0.99,"2005, 2007, 2009, 2011
"
hsa-let-7d-5p,LIN28B,ENST00000345080.4,lin-28 homolog B (C. elegans),118,5,2,2,1,0,-1.58,-1.58,> 0.99,"2007, 2009, 2011
"
hsa-let-7d-5p,FIGN,ENST00000333129.3,fidgetin,10,6,3,0,3,0,-1.46,-2.11,> 0.99,"2007, 2009, 2011
"
hsa-let-7d-5p,TRIM71,ENST00000383763.5,"tripartite motif containing 71, E3 ubiquitin protein ligase",67,8,4,2,2,0,-1.39,-1.66,> 0.99,"2007, 2009, 2011
"
hsa-let-7d-5p,THRSP,ENST00000281030.2,thyroid hormone responsive,5,2,1,1,0,0,-1.04,-1.04,0.92,"2009, 2011
"
hsa-let-7d-5p,USP44,ENST00000552440.1,ubiquitin specific peptidase 44,29,3,0,0,3,2,-1.01,-1.3,> 0.99,"2009, 2011
"
hsa-let-7d-5p,FAM222B,ENST00000582266.1,"family with sequence similarity 222, member B",100,2,2,0,0,2,-1.01,-1.03,< 0.1,0
hsa-let-7d-5p,IGDCC3,ENST00000327987.4,"immunoglobulin superfamily, DCC subclass, member 3",464,4,3,1,0,0,-1.01,-1.01,> 0.99,"2003, 2007, 2009, 2011
"
hsa-let-7d-5p,IGF2BP1,ENST00000290341.3,insulin-like growth factor 2 mRNA binding protein 1,460,5,3,1,1,1,-0.98,-1.51,> 0.99,"2007, 2009, 2011
"
hsa-let-7d-5p,VSTM5,ENST00000409977.1,V-set and transmembrane domain containing 5,5,2,2,0,0,0,-0.95,-0.95,> 0.99,0
hsa-let-7d-5p,FZD3,ENST00000240093.3,frizzled family receptor 3,192,3,2,0,1,0,-0.9,-1,> 0.99,2011
hsa-let-7d-5p,DTX2,ENST00000413936.2,deltex homolog 2 (Drosophila),76,2,1,0,1,0,-0.82,-0.82,> 0.99,"2005, 2007, 2009, 2011
"
hsa-let-7d-5p,YOD1,ENST00000315927.4,YOD1 deubiquitinase,55,2,1,1,0,0,-0.81,-0.88,> 0.99,"2007, 2009, 2011
"
hsa-let-7d-5p,PTAFR,ENST00000373857.3,platelet-activating factor receptor,5,3,2,1,0,0,-0.79,-0.79,0.98,2011
hsa-let-7d-5p,NGF,ENST00000369512.2,nerve growth factor (beta polypeptide),27,1,1,0,0,0,-0.79,-0.79,0.95,2011
hsa-let-7d-5p,SLC52A3,ENST00000381944.3,"solute carrier family 52 (riboflavin transporter), member 3",5,2,1,0,1,0,-0.77,-0.77,< 0.1,2011
hsa-let-7d-5p,XKR8,ENST00000373884.5,"XK, Kell blood group complex subunit-related family, member 8",7,2,1,1,0,1,-0.77,-0.77,0.96,"2007, 2009, 2011
"
hsa-let-7d-5p,ARHGEF38,ENST00000420470.2,Rho guanine nucleotide exchange factor (GEF) 38,5,2,1,0,1,3,-0.75,-0.75,0.87,2011
hsa-let-7d-5p,FAM103A1,ENST00000304191.3,"family with sequence similarity 103, member A1",11,1,1,0,0,1,-0.74,-0.74,0.72,"2009, 2011
"
hsa-let-7d-5p,MDM4,ENST00000391947.2,Mdm4 p53 binding protein homolog (mouse),443,2,1,0,1,2,-0.74,-0.84,0.88,2011
hsa-let-7d-5p,CCL7,ENST00000394630.3,chemokine (C-C motif) ligand 7,5,1,1,0,0,0,-0.74,-0.74,0.5,"2009, 2011
"
hsa-let-7d-5p,BACH1,ENST00000286800.3,"BTB and CNC homology 1, basic leucine zipper transcription factor 1",273,2,2,0,0,0,-0.73,-0.75,> 0.99,"2005, 2007, 2009, 2011
"
hsa-let-7d-5p,C5orf51,ENST00000381647.2,chromosome 5 open reading frame 51,124,2,1,1,0,0,-0.73,-0.73,0.94,"2005, 2007, 2009, 2011
"
hsa-let-7d-5p,HAND1,ENST00000231121.2,heart and neural crest derivatives expressed 1,5,1,1,0,0,0,-0.73,-0.73,0.96,"2005, 2007, 2009, 2011
"
hsa-let-7d-5p,TGFBR1,ENST00000374994.4,"transforming growth factor, beta receptor 1",249,2,1,0,1,1,-0.72,-0.76,> 0.99,"2005, 2007, 2009, 2011
"
hsa-let-7d-5p,CDC34,ENST00000215574.4,cell division cycle 34,1810,2,1,0,1,0,-0.72,-0.92,> 0.99,"2005, 2007, 2009, 2011
"
hsa-let-7d-5p,RNFT1,ENST00000442346.2,"ring finger protein, transmembrane 1",6,1,1,0,0,0,-0.71,-0.71,ORF,0
hsa-let-7d-5p,HOXB1,ENST00000239174.6,homeobox B1,5,1,1,0,0,0,-0.71,-0.71,0.96,0
hsa-let-7d-5p,SMIM3,ENST00000526627.1,small integral membrane protein 3,3180,1,1,0,0,0,-0.71,-0.71,0.89,"2007, 2009, 2011
"
hsa-let-7d-5p,SALL4,ENST00000217086.4,sal-like 4 (Drosophila),155,1,1,0,0,0,-0.71,-0.74,0.96,0
hsa-let-7d-5p,LRIG3,ENST00000379141.4,leucine-rich repeats and immunoglobulin-like domains 3,366,2,1,1,0,0,-0.69,-0.8,0.96,"2005, 2007, 2009, 2011
"
hsa-let-7d-5p,SLC35D2,ENST00000253270.7,"solute carrier family 35 (UDP-GlcNAc/UDP-glucose transporter), member D2",223,2,1,1,0,0,-0.68,-0.92,0.77,"2005, 2007, 2009, 2011
"
hsa-let-7d-5p,DUSP16,ENST00000298573.4,dual specificity phosphatase 16,444,3,1,1,1,0,-0.67,-0.68,0.94,"2005, 2007, 2009, 2011
"
hsa-let-7b-5p,PBX3,ENST00000342287.5,pre-B-cell leukemia homeobox 3,1142,2,0,1,1,1,-0.67,-0.71,> 0.99,"2005, 2007, 2009, 2011
"
hsa-let-7d-5p,TNFSF9,ENST00000245817.3,"tumor necrosis factor (ligand) superfamily, member 9",30,1,1,0,0,0,-0.67,-0.67,0.96,"2009, 2011
"
hsa-let-7d-5p,GALNT1,ENST00000269195.5,UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 1 (GalNAc-T1),2466,2,1,0,1,0,-0.67,-0.69,> 0.99,"2005, 2007, 2009, 2011
"
hsa-let-7d-5p,ZC3HAV1L,ENST00000275766.1,"zinc finger CCCH-type, antiviral 1-like",98,3,2,0,1,0,-0.67,-0.72,0.94,0
hsa-let-7d-5p,ARID3A,ENST00000263620.3,AT rich interactive domain 3A (BRIGHT-like),320,3,1,1,1,0,-0.67,-1,> 0.99,"2007, 2009, 2011
"
hsa-let-7d-5p,MARS2,ENST00000282276.6,"methionyl-tRNA synthetase 2, mitochondrial",391,2,0,1,1,0,-0.67,-0.72,0.91,"2009, 2011
"
hsa-let-7d-5p,QARS,ENST00000306125.6,glutaminyl-tRNA synthetase,1411,1,1,0,0,0,-0.66,-0.67,< 0.1,"2005, 2007, 2009, 2011
"
hsa-let-7d-5p,LIPT2,ENST00000310109.4,lipoyl(octanoyl) transferase 2 (putative),198,1,1,0,0,0,-0.66,-0.66,0.89,2011
hsa-let-7d-5p,TTC31,ENST00000410003.1,tetratricopeptide repeat domain 31,132,1,1,0,0,1,-0.65,-0.65,0.87,"2009, 2011
"
hsa-let-7d-5p,C8orf58,ENST00000289989.5,chromosome 8 open reading frame 58,619,1,1,0,0,0,-0.65,-0.65,0.95,"2009, 2011
"
hsa-let-7b-5p,ZBTB8B,ENST00000609129.1,zinc finger and BTB domain containing 8B,18,3,1,2,0,0,-0.64,-0.64,0.9,0
hsa-let-7d-5p,TP53,ENST00000420246.2,tumor protein p53,836,2,1,1,0,0,-0.64,-0.64,0.88,2011
hsa-let-7d-5p,ZNF512B,ENST00000369888.1,zinc finger protein 512B,8,3,0,3,0,0,-0.63,-0.63,> 0.99,"2007, 2009, 2011
"
hsa-let-7d-5p,CCNJ,ENST00000265992.5,cyclin J,5,2,1,0,1,0,-0.63,-0.63,0.95,"2005, 2007, 2009, 2011
"
hsa-let-7d-5p,GXYLT1,ENST00000398675.3,glucoside xylosyltransferase 1,126,2,1,0,1,0,-0.63,-0.63,> 0.99,"2009, 2011
"
