ID	Gene Name	Species	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	KEGG_PATHWAY	OMIM_DISEASE	REACTOME_PATHWAY
ABCF1	ATP binding cassette subfamily F member 1(ABCF1)	Homo sapiens	"GO:0006412~translation,GO:0006413~translational initiation,GO:0006954~inflammatory response,GO:0045727~positive regulation of translation,GO:0055085~transmembrane transport,"	"GO:0005635~nuclear envelope,GO:0005654~nucleoplasm,GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0005840~ribosome,GO:0016020~membrane,GO:0042788~polysomal ribosome,"	"GO:0005515~protein binding,GO:0005524~ATP binding,GO:0008135~translation factor activity, RNA binding,GO:0008494~translation activator activity,GO:0016887~ATPase activity,GO:0043022~ribosome binding,GO:0044822~poly(A) RNA binding,"			"R-HSA-382556:R-HSA-382556,"
CCL19	C-C motif chemokine ligand 19(CCL19)	Homo sapiens	"GO:0001768~establishment of T cell polarity,GO:0001771~immunological synapse formation,GO:0002407~dendritic cell chemotaxis,GO:0002408~myeloid dendritic cell chemotaxis,GO:0002548~monocyte chemotaxis,GO:0002606~positive regulation of dendritic cell antigen processing and presentation,GO:0006874~cellular calcium ion homeostasis,GO:0006954~inflammatory response,GO:0006955~immune response,GO:0007154~cell communication,GO:0007186~G-protein coupled receptor signaling pathway,GO:0007257~activation of JUN kinase activity,GO:0009615~response to virus,GO:0010560~positive regulation of glycoprotein biosynthetic process,GO:0031295~T cell costimulation,GO:0032735~positive regulation of interleukin-12 production,GO:0032760~positive regulation of tumor necrosis factor production,GO:0034695~response to prostaglandin E,GO:0042102~positive regulation of T cell proliferation,GO:0042346~positive regulation of NF-kappaB import into nucleus,GO:0043123~positive regulation of I-kappaB kinase/NF-kappaB signaling,GO:0043547~positive regulation of GTPase activity,GO:0043552~positive regulation of phosphatidylinositol 3-kinase activity,GO:0045627~positive regulation of T-helper 1 cell differentiation,GO:0045807~positive regulation of endocytosis,GO:0045860~positive regulation of protein kinase activity,GO:0046330~positive regulation of JNK cascade,GO:0048247~lymphocyte chemotaxis,GO:0048260~positive regulation of receptor-mediated endocytosis,GO:0048469~cell maturation,GO:0050718~positive regulation of interleukin-1 beta secretion,GO:0050921~positive regulation of chemotaxis,GO:0051209~release of sequestered calcium ion into cytosol,GO:0051897~positive regulation of protein kinase B signaling,GO:0060326~cell chemotaxis,GO:0060491~regulation of cell projection assembly,GO:0070098~chemokine-mediated signaling pathway,GO:0070374~positive regulation of ERK1 and ERK2 cascade,GO:0071346~cellular response to interferon-gamma,GO:0071347~cellular response to interleukin-1,GO:0071356~cellular response to tumor necrosis factor,GO:0071731~response to nitric oxide,GO:0072610~interleukin-12 secretion,GO:0090023~positive regulation of neutrophil chemotaxis,GO:0097029~mature conventional dendritic cell differentiation,GO:0098586~cellular response to virus,GO:2000107~negative regulation of leukocyte apoptotic process,GO:2000147~positive regulation of cell motility,GO:2000549~positive regulation of dendritic cell dendrite assembly,"	"GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0005622~intracellular,"	"GO:0008009~chemokine activity,GO:0031732~CCR7 chemokine receptor binding,GO:0031735~CCR10 chemokine receptor binding,GO:0042379~chemokine receptor binding,GO:0048020~CCR chemokine receptor binding,"	"hsa04060:Cytokine-cytokine receptor interaction,hsa04062:Chemokine signaling pathway,hsa04064:NF-kappa B signaling pathway,"		"R-HSA-380108:R-HSA-380108,R-HSA-418594:R-HSA-418594,"
CCL23	C-C motif chemokine ligand 23(CCL23)	Homo sapiens	"GO:0002548~monocyte chemotaxis,GO:0006874~cellular calcium ion homeostasis,GO:0006935~chemotaxis,GO:0006954~inflammatory response,GO:0006955~immune response,GO:0007165~signal transduction,GO:0007186~G-protein coupled receptor signaling pathway,GO:0007267~cell-cell signaling,GO:0008285~negative regulation of cell proliferation,GO:0030593~neutrophil chemotaxis,GO:0043547~positive regulation of GTPase activity,GO:0048247~lymphocyte chemotaxis,GO:0050729~positive regulation of inflammatory response,GO:0070098~chemokine-mediated signaling pathway,GO:0070374~positive regulation of ERK1 and ERK2 cascade,GO:0071346~cellular response to interferon-gamma,GO:0071347~cellular response to interleukin-1,GO:0071356~cellular response to tumor necrosis factor,GO:2001264~negative regulation of C-C chemokine binding,"	"GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0005623~cell,"	"GO:0008009~chemokine activity,GO:0008201~heparin binding,GO:0031726~CCR1 chemokine receptor binding,"	"hsa04060:Cytokine-cytokine receptor interaction,hsa04062:Chemokine signaling pathway,"		"R-HSA-416476:R-HSA-416476,R-HSA-418594:R-HSA-418594,R-HSA-444473:R-HSA-444473,"
CCL28	C-C motif chemokine ligand 28(CCL28)	Homo sapiens	"GO:0001954~positive regulation of cell-matrix adhesion,GO:0006935~chemotaxis,GO:0006955~immune response,GO:0007204~positive regulation of cytosolic calcium ion concentration,GO:0007584~response to nutrient,GO:0060326~cell chemotaxis,GO:1903237~negative regulation of leukocyte tethering or rolling,"	"GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0005623~cell,GO:0070062~extracellular exosome,"	"GO:0005515~protein binding,GO:0008009~chemokine activity,"	"hsa04060:Cytokine-cytokine receptor interaction,hsa04062:Chemokine signaling pathway,hsa04672:Intestinal immune network for IgA production,"		"R-HSA-380108:R-HSA-380108,R-HSA-418594:R-HSA-418594,"
CCL3	C-C motif chemokine ligand 3(CCL3)	Homo sapiens	"GO:0000165~MAPK cascade,GO:0001649~osteoblast differentiation,GO:0001775~cell activation,GO:0002548~monocyte chemotaxis,GO:0006816~calcium ion transport,GO:0006874~cellular calcium ion homeostasis,GO:0006887~exocytosis,GO:0006935~chemotaxis,GO:0006954~inflammatory response,GO:0006955~immune response,GO:0007010~cytoskeleton organization,GO:0007186~G-protein coupled receptor signaling pathway,GO:0007267~cell-cell signaling,GO:0007610~behavior,GO:0008360~regulation of cell shape,GO:0009636~response to toxic substance,GO:0010628~positive regulation of gene expression,GO:0010629~negative regulation of gene expression,GO:0010818~T cell chemotaxis,GO:0014808~release of sequestered calcium ion into cytosol by sarcoplasmic reticulum,GO:0019722~calcium-mediated signaling,GO:0023052~signaling,GO:0030335~positive regulation of cell migration,GO:0030502~negative regulation of bone mineralization,GO:0030593~neutrophil chemotaxis,GO:0031663~lipopolysaccharide-mediated signaling pathway,GO:0032760~positive regulation of tumor necrosis factor production,GO:0043308~eosinophil degranulation,GO:0043491~protein kinase B signaling,GO:0043525~positive regulation of neuron apoptotic process,GO:0043547~positive regulation of GTPase activity,GO:0043615~astrocyte cell migration,GO:0043922~negative regulation by host of viral transcription,GO:0045671~negative regulation of osteoclast differentiation,GO:0048245~eosinophil chemotaxis,GO:0048246~macrophage chemotaxis,GO:0048247~lymphocyte chemotaxis,GO:0050718~positive regulation of interleukin-1 beta secretion,GO:0050729~positive regulation of inflammatory response,GO:0050850~positive regulation of calcium-mediated signaling,GO:0050918~positive chemotaxis,GO:0051897~positive regulation of protein kinase B signaling,GO:0051928~positive regulation of calcium ion transport,GO:0051930~regulation of sensory perception of pain,GO:0060326~cell chemotaxis,GO:0070098~chemokine-mediated signaling pathway,GO:0070374~positive regulation of ERK1 and ERK2 cascade,GO:0070723~response to cholesterol,GO:0071346~cellular response to interferon-gamma,GO:0071347~cellular response to interleukin-1,GO:0071356~cellular response to tumor necrosis factor,GO:0071407~cellular response to organic cyclic compound,GO:0071621~granulocyte chemotaxis,GO:0090280~positive regulation of calcium ion import,GO:2000503~positive regulation of natural killer cell chemotaxis,"	"GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0005622~intracellular,GO:0005737~cytoplasm,GO:0005829~cytosol,"	"GO:0004672~protein kinase activity,GO:0004698~calcium-dependent protein kinase C activity,GO:0005515~protein binding,GO:0008009~chemokine activity,GO:0016004~phospholipase activator activity,GO:0016301~kinase activity,GO:0031726~CCR1 chemokine receptor binding,GO:0031730~CCR5 chemokine receptor binding,GO:0042056~chemoattractant activity,GO:0042802~identical protein binding,"	"hsa04060:Cytokine-cytokine receptor interaction,hsa04062:Chemokine signaling pathway,hsa04620:Toll-like receptor signaling pathway,hsa05132:Salmonella infection,hsa05142:Chagas disease (American trypanosomiasis),hsa05323:Rheumatoid arthritis,"	"609423~HIV infection, resistance to,"	"R-HSA-380108:R-HSA-380108,"
CCL4	C-C motif chemokine ligand 4(CCL4)	Homo sapiens	"GO:0002548~monocyte chemotaxis,GO:0006928~movement of cell or subcellular component,GO:0006954~inflammatory response,GO:0006955~immune response,GO:0007155~cell adhesion,GO:0007163~establishment or maintenance of cell polarity,GO:0007165~signal transduction,GO:0007186~G-protein coupled receptor signaling pathway,GO:0007267~cell-cell signaling,GO:0009615~response to virus,GO:0009636~response to toxic substance,GO:0030593~neutrophil chemotaxis,GO:0035690~cellular response to drug,GO:0043547~positive regulation of GTPase activity,GO:0043922~negative regulation by host of viral transcription,GO:0050729~positive regulation of inflammatory response,GO:0050850~positive regulation of calcium-mediated signaling,GO:0051928~positive regulation of calcium ion transport,GO:0070098~chemokine-mediated signaling pathway,GO:0070374~positive regulation of ERK1 and ERK2 cascade,GO:0071346~cellular response to interferon-gamma,GO:0071347~cellular response to interleukin-1,GO:0071356~cellular response to tumor necrosis factor,GO:2000503~positive regulation of natural killer cell chemotaxis,"	"GO:0005576~extracellular region,GO:0005615~extracellular space,"	"GO:0005125~cytokine activity,GO:0005515~protein binding,GO:0008009~chemokine activity,GO:0031726~CCR1 chemokine receptor binding,GO:0031730~CCR5 chemokine receptor binding,GO:0042802~identical protein binding,"	"hsa04060:Cytokine-cytokine receptor interaction,hsa04062:Chemokine signaling pathway,hsa04064:NF-kappa B signaling pathway,hsa04620:Toll-like receptor signaling pathway,hsa04623:Cytosolic DNA-sensing pathway,hsa05132:Salmonella infection,"		"R-HSA-380108:R-HSA-380108,"
CCL7	C-C motif chemokine ligand 7(CCL7)	Homo sapiens	"GO:0002548~monocyte chemotaxis,GO:0006874~cellular calcium ion homeostasis,GO:0006935~chemotaxis,GO:0006954~inflammatory response,GO:0007010~cytoskeleton organization,GO:0007165~signal transduction,GO:0007186~G-protein coupled receptor signaling pathway,GO:0007267~cell-cell signaling,GO:0008360~regulation of cell shape,GO:0010332~response to gamma radiation,GO:0030335~positive regulation of cell migration,GO:0030593~neutrophil chemotaxis,GO:0043547~positive regulation of GTPase activity,GO:0048245~eosinophil chemotaxis,GO:0050729~positive regulation of inflammatory response,GO:0070098~chemokine-mediated signaling pathway,GO:0070374~positive regulation of ERK1 and ERK2 cascade,GO:0071346~cellular response to interferon-gamma,GO:0071347~cellular response to interleukin-1,GO:0071356~cellular response to tumor necrosis factor,GO:0071361~cellular response to ethanol,GO:2000503~positive regulation of natural killer cell chemotaxis,"	"GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0005623~cell,"	"GO:0005515~protein binding,GO:0008009~chemokine activity,GO:0008201~heparin binding,GO:0031726~CCR1 chemokine receptor binding,GO:0031727~CCR2 chemokine receptor binding,"	"hsa04060:Cytokine-cytokine receptor interaction,hsa04062:Chemokine signaling pathway,"		"R-HSA-380108:R-HSA-380108,"
CXCL8	C-X-C motif chemokine ligand 8(CXCL8)	Homo sapiens	"GO:0001525~angiogenesis,GO:0002237~response to molecule of bacterial origin,GO:0006928~movement of cell or subcellular component,GO:0006935~chemotaxis,GO:0006954~inflammatory response,GO:0006955~immune response,GO:0007050~cell cycle arrest,GO:0007165~signal transduction,GO:0007186~G-protein coupled receptor signaling pathway,GO:0008285~negative regulation of cell proliferation,GO:0019722~calcium-mediated signaling,GO:0030155~regulation of cell adhesion,GO:0030593~neutrophil chemotaxis,GO:0031623~receptor internalization,GO:0034976~response to endoplasmic reticulum stress,GO:0035556~intracellular signal transduction,GO:0036499~PERK-mediated unfolded protein response,GO:0042119~neutrophil activation,GO:0044344~cellular response to fibroblast growth factor stimulus,GO:0045091~regulation of single stranded viral RNA replication via double stranded DNA intermediate,GO:0045744~negative regulation of G-protein coupled receptor protein signaling pathway,GO:0045766~positive regulation of angiogenesis,GO:0048566~embryonic digestive tract development,GO:0050930~induction of positive chemotaxis,GO:0070098~chemokine-mediated signaling pathway,GO:0071222~cellular response to lipopolysaccharide,GO:0071347~cellular response to interleukin-1,GO:0071356~cellular response to tumor necrosis factor,GO:0090023~positive regulation of neutrophil chemotaxis,GO:2000535~regulation of entry of bacterium into host cell,"	"GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0005622~intracellular,"	"GO:0005153~interleukin-8 receptor binding,GO:0005515~protein binding,GO:0008009~chemokine activity,"	"hsa04060:Cytokine-cytokine receptor interaction,hsa04062:Chemokine signaling pathway,hsa04064:NF-kappa B signaling pathway,hsa04620:Toll-like receptor signaling pathway,hsa04621:NOD-like receptor signaling pathway,hsa04622:RIG-I-like receptor signaling pathway,hsa04932:Non-alcoholic fatty liver disease (NAFLD),hsa05120:Epithelial cell signaling in Helicobacter pylori infection,hsa05131:Shigellosis,hsa05132:Salmonella infection,hsa05133:Pertussis,hsa05134:Legionellosis,hsa05142:Chagas disease (American trypanosomiasis),hsa05144:Malaria,hsa05146:Amoebiasis,hsa05160:Hepatitis C,hsa05161:Hepatitis B,hsa05164:Influenza A,hsa05200:Pathways in cancer,hsa05202:Transcriptional misregulation in cancer,hsa05219:Bladder cancer,hsa05323:Rheumatoid arthritis,"		"R-HSA-2559582:R-HSA-2559582,R-HSA-375276:R-HSA-375276,R-HSA-380108:R-HSA-380108,R-HSA-380994:R-HSA-380994,R-HSA-418594:R-HSA-418594,"
CXCL9	C-X-C motif chemokine ligand 9(CXCL9)	Homo sapiens	"GO:0002690~positive regulation of leukocyte chemotaxis,GO:0006935~chemotaxis,GO:0006952~defense response,GO:0006954~inflammatory response,GO:0006955~immune response,GO:0006968~cellular defense response,GO:0007165~signal transduction,GO:0007186~G-protein coupled receptor signaling pathway,GO:0007267~cell-cell signaling,GO:0030816~positive regulation of cAMP metabolic process,GO:0032496~response to lipopolysaccharide,GO:0042127~regulation of cell proliferation,GO:0043950~positive regulation of cAMP-mediated signaling,GO:0045663~positive regulation of myoblast differentiation,GO:0051281~positive regulation of release of sequestered calcium ion into cytosol,GO:0051607~defense response to virus,GO:0060326~cell chemotaxis,GO:0070098~chemokine-mediated signaling pathway,GO:1901741~positive regulation of myoblast fusion,"	"GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0009897~external side of plasma membrane,"	"GO:0005125~cytokine activity,GO:0005515~protein binding,GO:0008009~chemokine activity,GO:0048248~CXCR3 chemokine receptor binding,"	"hsa04060:Cytokine-cytokine receptor interaction,hsa04062:Chemokine signaling pathway,hsa04620:Toll-like receptor signaling pathway,"		"R-HSA-380108:R-HSA-380108,R-HSA-418594:R-HSA-418594,"
CX3CL1	C-X3-C motif chemokine ligand 1(CX3CL1)	Homo sapiens	"GO:0002523~leukocyte migration involved in inflammatory response,GO:0002548~monocyte chemotaxis,GO:0006935~chemotaxis,GO:0006952~defense response,GO:0006955~immune response,GO:0007155~cell adhesion,GO:0007186~G-protein coupled receptor signaling pathway,GO:0019221~cytokine-mediated signaling pathway,GO:0030336~negative regulation of cell migration,GO:0030593~neutrophil chemotaxis,GO:0030595~leukocyte chemotaxis,GO:0032914~positive regulation of transforming growth factor beta1 production,GO:0033622~integrin activation,GO:0043547~positive regulation of GTPase activity,GO:0045766~positive regulation of angiogenesis,GO:0048246~macrophage chemotaxis,GO:0048247~lymphocyte chemotaxis,GO:0050729~positive regulation of inflammatory response,GO:0050902~leukocyte adhesive activation,GO:0051041~positive regulation of calcium-independent cell-cell adhesion,GO:0060055~angiogenesis involved in wound healing,GO:0060326~cell chemotaxis,GO:0070098~chemokine-mediated signaling pathway,GO:0070374~positive regulation of ERK1 and ERK2 cascade,GO:0071346~cellular response to interferon-gamma,GO:0071347~cellular response to interleukin-1,GO:0071356~cellular response to tumor necrosis factor,GO:2001240~negative regulation of extrinsic apoptotic signaling pathway in absence of ligand,"	"GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0005886~plasma membrane,GO:0009986~cell surface,GO:0016021~integral component of membrane,"	"GO:0005102~receptor binding,GO:0005178~integrin binding,GO:0005515~protein binding,GO:0008009~chemokine activity,GO:0031737~CX3C chemokine receptor binding,GO:0048020~CCR chemokine receptor binding,"	"hsa04060:Cytokine-cytokine receptor interaction,hsa04062:Chemokine signaling pathway,hsa04668:TNF signaling pathway,"		"R-HSA-380108:R-HSA-380108,"
