mirnaid,refseqid,genesymbol,start,end,bindingp,energy,seed,accessibility,au,phylopstem,phylopflank,me,number_of_pairings,binding_region_length,longest_consecutive_pairings,position,validated,TargetScan,miRDB
hsa-let-7b-5p,XM_011509791,PGLYRP4,302,327,0.953846153846,-22.8,1,0.0527569,0.426,0.0,0.0,-3.79332483736,20,25,10,5UTR,,0,0
hsa-let-7b-5p,NM_203405,KRTAP26-1,221,253,0.953846153846,-22.3,1,0.4513464,0.485,-0.435897751852,0.09998873625,-3.9375744462,20,32,9,5UTR,,0,0
hsa-let-7b-5p,XM_017000415,ZNF362,325,351,0.953846153846,-23.3,1,0.01895183,0.515,0.0,0.0,-3.79332483736,19,26,10,5UTR,,1,1
hsa-let-7b-5p,NM_015530,GORASP2,3,31,0.953846153846,-23.1,1,5.385842e-08,0.45,0.0,0.0,-5.10125032822,17,21,10,5UTR,,0,0
hsa-let-7b-5p,NM_003023,SH3BP2,178,203,0.953846153846,-28.7,1,0.005139244,0.456,0.0570712347826,0.02583006375,-3.79332483736,21,25,16,5UTR,,0,0
hsa-let-7b-5p,XM_017021685,RPS6KL1,130,152,0.955128205128,-21.0,0,0.002419356,0.426,0.0,0.0,-11.428251316,16,22,8,5UTR,,0,0
hsa-let-7b-5p,NM_001308196,SIMC1,315,350,0.961538461538,-26.1,1,0.003670422,0.412,-0.2446806,0.18337304375,-4.8497144956,20,24,14,5UTR,,0,0
hsa-let-7b-5p,NM_031940,TM2D2,125,146,0.961538461538,-21.5,0,1.331144e-06,0.485,-0.0333281785714,0.34890084375,-6.51454019368,18,21,7,5UTR,,0,0
hsa-let-7b-5p,NM_001193502,TCF24,45,63,0.961538461538,-19.7,0,8.348987e-07,0.25,1.33239033333,0.53329733,-9.0843346488,16,18,12,5UTR,,0,0
hsa-let-7b-5p,NM_031415,GSDMC,594,631,0.961538461538,-26.1,1,0.006495498,0.382,0.518416186667,0.49038952,-4.8497144956,20,24,14,5UTR,,0,0
hsa-let-7b-5p,XM_006713800,B4GALT4,79,99,0.961538461538,-21.4,0,0.0007418577,0.324,0.0,0.0,-12.6861179787,16,20,7,5UTR,,0,0
hsa-let-7b-5p,NM_012219,MRAS,3,37,0.961538461538,-26.4,1,0.008231122,0.409,0.0,0.0,-4.8497144956,20,24,14,5UTR,,0,0
hsa-let-7b-5p,NM_001252091,MRAS,3,37,0.961538461538,-26.4,1,0.008231122,0.409,0.0,0.0,-4.8497144956,20,24,14,5UTR,,0,0
hsa-let-7b-5p,NM_001320679,SPTSSB,697,738,0.961538461538,-22.5,1,0.007405641,0.382,0.69698306,0.308153895,-3.9375744462,18,22,8,5UTR,,0,0
hsa-let-7b-5p,NM_000884,IMPDH2,67,109,0.961538461538,-20.7,1,0.0001274485,0.353,5.08492931429,3.14630159,-7.3122554371,18,22,10,5UTR,MIRT032398,0,0
hsa-let-7b-5p,XM_011523832,INCA1,682,730,0.961538461538,-26.1,1,0.005935893,0.412,0.0,0.0,-4.8497144956,20,24,14,5UTR,,0,0
hsa-let-7b-5p,XM_017029918,CCNB3,215,246,0.961538461538,-21.7,1,0.003279627,0.515,0.0,0.0,-5.10125032822,17,26,9,5UTR,,0,0
hsa-let-7b-5p,NM_031957,KRTAP1-5,41,61,0.961538461538,-24.2,0,0.0002763888,0.5,0.423964785714,0.54412829875,-6.51454019368,17,20,14,5UTR,,0,0
hsa-let-7b-5p,NM_002964,S100A8,70,106,0.961538461538,-19.8,1,0.001118323,0.456,0.531600036364,0.199446065,-11.2074090907,18,27,8,5UTR,,1,0
hsa-let-7b-5p,NM_019617,GKN1,61,81,0.961538461538,-24.4,0,0.04820402,0.515,0.332659714286,0.642935027125,-6.55112351607,17,20,11,5UTR,,0,0
hsa-let-7b-5p,NM_001282924,LRRTM4,228,255,0.961538461538,-21.5,1,0.0007139746,0.529,0.189654734783,0.131685155,-3.9375744462,20,27,7,5UTR,,0,0
hsa-let-7b-5p,NM_001134745,LRRTM4,228,255,0.961538461538,-21.5,1,0.0007139746,0.529,0.189654734783,0.131685155,-3.9375744462,20,27,7,5UTR,,0,0
hsa-let-7b-5p,NM_001282928,LRRTM4,197,255,0.961538461538,-21.9,1,0.0007139746,0.529,0.434272004348,0.675274715,-3.9375744462,20,28,7,5UTR,,0,0
hsa-let-7b-5p,NM_024993,LRRTM4,228,255,0.961538461538,-21.5,1,0.0007139746,0.529,0.244689791304,0.5697252625,-3.9375744462,20,27,7,5UTR,,0,0
hsa-let-7b-5p,NM_001008387,REG3G,188,210,0.961538461538,-20.1,1,0.002264508,0.382,0.238381266667,0.0746052175,-4.52877439761,18,22,9,5UTR,,0,0
hsa-let-7b-5p,NM_001270040,REG3G,188,210,0.961538461538,-20.1,1,0.002264508,0.382,0.238381266667,0.0746052175,-4.52877439761,18,22,9,5UTR,,0,0
hsa-let-7b-5p,XM_011526044,ZCCHC2,1048,1070,0.961538461538,-20.2,0,0.07979208,0.618,0.0,0.0,-9.29911808934,19,22,15,5UTR,,0,0
hsa-let-7b-5p,NM_001145078,ZNF805,352,373,0.961538461538,-24.3,0,0.005744882,0.529,-0.178808771429,-0.2317231775,-7.23613681449,17,21,7,5UTR,MIRT052075,0,0
hsa-let-7b-5p,NM_025027,ZNF606,37,55,0.961538461538,-19.6,0,0.001138535,0.412,0.761301633333,0.613471224242,-8.38609586166,16,18,11,5UTR,MIRT052134,0,0
hsa-let-7b-5p,NM_138812,DYDC1,82,119,0.961538461538,-26.1,1,0.00753558,0.426,0.33450952,1.34514087,-4.8497144956,20,24,14,5UTR,,0,0
hsa-let-7b-5p,NM_001320654,FGFR2,153,176,0.961538461538,-22.5,0,0.001583609,0.529,1.4603428125,1.49527129125,-11.3570073082,17,23,7,5UTR,,0,0
hsa-let-7b-5p,NM_016644,PRR16,402,439,0.961538461538,-26.1,1,0.02813063,0.426,-0.2243704,0.93037123125,-4.8497144956,20,24,14,5UTR,,0,0
hsa-let-7b-5p,NM_080666,WDR89,75,98,0.961538461538,-27.7,0,5.867657e-05,0.441,-0.0731003571429,-0.0451677625,-7.23797013342,18,23,14,5UTR,,0,0
hsa-let-7b-5p,NM_001258272,WDR89,75,98,0.961538461538,-27.7,0,6.267782e-05,0.441,-0.0731003571429,-0.0451677625,-7.23797013342,18,23,14,5UTR,,0,0
hsa-let-7b-5p,NM_001191057,PDE1C,388,438,0.961538461538,-20.0,1,0.01085088,0.368,0.069565,-0.07035909375,-5.18008091453,16,22,9,5UTR,,0,0
hsa-let-7b-5p,NM_030625,TET1,135,157,0.961538461538,-24.3,1,0.0006376497,0.382,0.942578619048,0.4143423,-3.79332483736,19,22,10,5UTR,,0,0
hsa-let-7b-5p,NM_080617,CBLN4,750,792,0.961538461538,-22.1,1,0.0003683511,0.397,0.493285714286,1.366713205,-5.58516405585,17,26,7,5UTR,,0,0
hsa-let-7b-5p,NM_199261,TPTE,67,88,0.961538461538,-22.9,1,0.001641064,0.382,-0.0124577444444,0.15756809875,-5.10125032822,17,21,9,5UTR,,0,0
hsa-let-7b-5p,NM_199259,TPTE,67,88,0.961538461538,-22.9,1,0.001641064,0.382,-0.0124577444444,0.15756809875,-5.10125032822,17,21,9,5UTR,,0,0
hsa-let-7b-5p,NM_199260,TPTE,67,88,0.961538461538,-22.9,1,0.001641064,0.382,-0.0124577444444,0.15756809875,-5.10125032822,17,21,9,5UTR,,0,0
hsa-let-7b-5p,NM_001290224,TPTE,67,88,0.961538461538,-22.9,1,0.001641064,0.382,-0.0124577444444,0.15756809875,-5.10125032822,17,21,9,5UTR,,0,0
hsa-let-7b-5p,NM_198721,COL25A1,101,124,0.961538461538,-20.9,1,0.00686046,0.426,0.2751885125,1.234854884,-4.8497144956,18,23,8,5UTR,,0,0
hsa-let-7b-5p,NM_032518,COL25A1,101,124,0.961538461538,-20.9,1,0.00686046,0.426,0.2601492,-0.037277975,-4.8497144956,18,23,8,5UTR,,0,0
hsa-let-7b-5p,NM_001716,CXCR5,25,51,0.961538461538,-25.8,1,0.0005697351,0.456,0.507453527778,1.63707129875,-3.9375744462,17,20,10,5UTR,,0,0
hsa-let-7b-5p,XM_011526586,ZNF383,955,977,0.961538461538,-21.3,0,0.0195728,0.603,0.0,0.0,-5.33701137223,19,22,14,5UTR,,0,0
hsa-let-7b-5p,NM_001003690,MAD2L1BP,164,184,0.961538461538,-28.6,0,1.041853e-06,0.368,-0.02182275,0.83127249375,-8.14541109247,18,20,15,5UTR,,0,0
hsa-let-7b-5p,NM_001080450,BEND3,214,240,0.961538461538,-21.6,1,0.0155219,0.456,2.0417062,2.46887715,-3.9375744462,20,26,7,5UTR,,0,0
hsa-let-7b-5p,NM_012269,HYAL4,103,132,0.961538461538,-25.8,1,0.00204963,0.471,-0.139978571429,-0.1471513,-5.03583130569,20,24,14,5UTR,,0,0
hsa-let-7b-5p,NM_001271606,BASP1,51,69,0.961538461538,-20.7,0,0.0003508669,0.338,0.0729230769231,2.7021001,-6.74758927398,16,18,10,5UTR,,0,0
hsa-let-7b-5p,NM_003999,OSMR,369,391,0.961538461538,-21.7,1,0.001267156,0.382,-0.072405,0.0487688725,-5.33429940852,18,22,8,5UTR,,1,0
hsa-let-7b-5p,NM_001008530,LGMN,247,281,0.961538461538,-25.9,1,0.001606391,0.412,-0.00881365333333,-0.2861962075,-4.8497144956,20,24,14,5UTR,,0,0
hsa-let-7b-5p,NM_001280797,GLS2,790,820,0.974358974359,-24.6,1,0.01693271,0.426,5.04324960526,4.73410890625,-4.99396410445,21,30,10,5UTR,,0,0
hsa-let-7b-5p,NM_014779,TSC22D2,132,152,0.974358974359,-25.0,1,0.03690439,0.279,1.02499777778,0.112778125,-6.7022606075,19,20,19,5UTR,MIRT465123,1,0
hsa-let-7b-5p,NM_001276453,KPNB1,358,413,0.974358974359,-22.7,1,9.433086e-05,0.485,5.20804194444,5.67411761463,-4.17062352651,21,27,9,5UTR,,0,0
hsa-let-7b-5p,NM_014461,CNTN6,364,388,0.974358974359,-22.9,1,3.733356e-06,0.456,2.81663580952,3.174045425,-5.10125032822,19,24,12,5UTR,,0,0
hsa-let-7b-5p,NM_001289080,CNTN6,364,388,0.974358974359,-22.9,1,3.733356e-06,0.456,2.81663580952,3.174045425,-5.10125032822,19,24,12,5UTR,,0,0
hsa-let-7b-5p,NM_001204517,KIFAP3,879,907,0.974358974359,-23.1,1,0.1426476,0.574,5.62042857143,5.11482324125,-3.9375744462,21,28,9,5UTR,,0,0
hsa-let-7b-5p,NM_006669,LILRB1,194,215,0.974358974359,-22.7,0,0.01358478,0.5,0.135072,0.078260625,-6.93679006688,18,21,11,5UTR,,0,0
hsa-let-7b-5p,NM_201594,SH2D6,1160,1183,0.974358974359,-23.8,1,0.02110514,0.353,0.0580822666667,0.33219649625,-7.0933104903,19,23,8,5UTR,,0,0
hsa-let-7b-5p,NM_002928,RGS16,112,135,0.974358974359,-21.7,0,0.03076722,0.309,1.06738548667,1.05602840125,-8.22207207464,17,23,9,5UTR,,1,1
hsa-let-7b-5p,NM_001164817,ACIN1,79,98,0.974358974359,-20.4,0,0.0003197566,0.441,2.64561125,2.65876556125,-9.5516050626,16,19,12,5UTR,,0,0
hsa-let-7b-5p,NM_174890,ZFAND4,451,479,0.974358974359,-20.1,1,0.003200844,0.471,0.8629142,0.861836845,-8.52688422413,20,28,10,5UTR,MIRT681326,0,0
