"","Transcript Id","Gene Id(name)","Mirna Name","miTG score"
"1","ENST00000383763","ENSG00000206557 (TRIM71)","hsa-let-7b-5p",0.999999998116128
"2","ENST00000333129","ENSG00000182263 (FIGN)","hsa-let-7b-5p",0.999999949025861
"3","ENST00000327987","ENSG00000174498 (IGDCC3)","hsa-let-7b-5p",0.99999933193364
"4","ENST00000345080","ENSG00000187772 (LIN28B)","hsa-let-7b-5p",0.999999165033203
"5","ENST00000263881","ENSG00000011566 (MAP4K3)","hsa-let-7b-5p",0.999997815987314
"6","ENST00000487099","ENSG00000148200 (NR6A1)","hsa-let-7b-5p",0.999997122098763
"7","ENST00000297268","ENSG00000164692 (COL1A2)","hsa-let-7b-5p",0.999997066800924
"8","ENST00000367084","ENSG00000180667 (YOD1)","hsa-let-7b-5p",0.999996549341468
"9","ENST00000458537","ENSG00000136603 (SKIL)","hsa-let-7b-5p",0.999996359791373
"10","ENST00000239174","ENSG00000120094 (HOXB1)","hsa-let-7b-5p",0.999990556487195
"11","ENST00000286800","ENSG00000156273 (BACH1)","hsa-let-7b-5p",0.999989275399025
"12","ENST00000419673","ENSG00000088756 (ARHGAP28)","hsa-let-7b-5p",0.999988142945787
"13","ENST00000537553","ENSG00000110888 (CAPRIN2)","hsa-let-7b-5p",0.999975321400137
"14","ENST00000290341","ENSG00000159217 (IGF2BP1)","hsa-let-7b-5p",0.999972893960046
"15","ENST00000409977","ENSG00000214376 (VSTM5)","hsa-let-7b-5p",0.999960251162308
"16","ENST00000346246","ENSG00000179361 (ARID3B)","hsa-let-7b-5p",0.999958377641625
"17","ENST00000466544","ENSG00000189050 (RNFT1)","hsa-let-7b-5p",0.999931198576408
"18","ENST00000425660","ENSG00000075624 (ACTB)","hsa-let-7b-5p",0.999903032338025
"19","ENST00000389286","ENSG00000166450 (PRTG)","hsa-let-7b-5p",0.999901440691043
"20","ENST00000231121","ENSG00000113196 (HAND1)","hsa-let-7b-5p",0.99987804188822
"21","ENST00000450751","ENSG00000214575 (CPEB1)","hsa-let-7b-5p",0.999848019730954
"22","ENST00000426654","ENSG00000102908 (NFAT5)","hsa-let-7b-5p",0.999823345417286
"23","ENST00000271411","ENSG00000143190 (POU2F1)","hsa-let-7b-5p",0.999818320252511
"24","ENST00000524880","ENSG00000258529 (ALG9)","hsa-let-7b-5p",0.999817838991787
"25","ENST00000240316","ENSG00000121058 (COIL)","hsa-let-7b-5p",0.999803160908918
"26","ENST00000568107","ENSG00000261609 (GAN)","hsa-let-7b-5p",0.999799197064951
"27","ENST00000304636","ENSG00000168542 (COL3A1)","hsa-let-7b-5p",0.999778004049345
"28","ENST00000304581","ENSG00000008323 (PLEKHG6)","hsa-let-7b-5p",0.999761191680933
"29","ENST00000531050","ENSG00000152894 (PTPRK)","hsa-let-7b-5p",0.999754845969559
"30","ENST00000582266","ENSG00000173065 (FAM222B)","hsa-let-7b-5p",0.999750692689964
"31","ENST00000243349","ENSG00000123612 (ACVR1C)","hsa-let-7b-5p",0.999672625825975
"32","ENST00000534964","ENSG00000047346 (FAM214A)","hsa-let-7b-5p",0.999612154302646
"33","ENST00000355238","ENSG00000135316 (SYNCRIP)","hsa-let-7b-5p",0.99959435580025
"34","ENST00000420470","ENSG00000236699 (ARHGEF38)","hsa-let-7b-5p",0.999591190306989
"35","ENST00000265563","ENSG00000114302 (PRKAR2A)","hsa-let-7b-5p",0.999573167711533
"36","ENST00000326279","ENSG00000131914 (LIN28A)","hsa-let-7b-5p",0.999509469234658
"37","ENST00000253270","ENSG00000130958 (SLC35D2)","hsa-let-7b-5p",0.999509436010274
"38","ENST00000261192","ENSG00000060982 (BCAT1)","hsa-let-7b-5p",0.999494112855694
"39","ENST00000287020","ENSG00000156466 (GDF6)","hsa-let-7b-5p",0.999466515038991
"40","ENST00000361127","ENSG00000198799 (LRIG2)","hsa-let-7b-5p",0.999421743346355
"41","ENST00000326225","ENSG00000153207 (AHCTF1)","hsa-let-7b-5p",0.999412156587222
"42","ENST00000525748","ENSG00000165970 (SLC6A5)","hsa-let-7b-5p",0.999357600888632
"43","ENST00000504830","ENSG00000151388 (ADAMTS12)","hsa-let-7b-5p",0.999289681939982
"44","ENST00000325192","ENSG00000179476 (C14orf28)","hsa-let-7b-5p",0.999288508583812
"45","ENST00000367545","ENSG00000152818 (UTRN)","hsa-let-7b-5p",0.999287009980495
"46","ENST00000512123","ENSG00000138759 (FRAS1)","hsa-let-7b-5p",0.999265847402563
"47","ENST00000383163","ENSG00000206260 (PRR23A)","hsa-let-7b-5p",0.999216233168963
