Mirna Name,Transcript Id,Gene Id,Gene name,miTG score
hsa-let-7b-5p,ENST00000383763,ENSG00000206557,TRIM71,0.999999998
hsa-let-7b-5p,ENST00000333129,ENSG00000182263,FIGN,0.999999949
hsa-let-7b-5p,ENST00000327987,ENSG00000174498,IGDCC3,0.999999332
hsa-let-7b-5p,ENST00000345080,ENSG00000187772,LIN28B,0.999999165
hsa-let-7b-5p,ENST00000263881,ENSG00000011566,MAP4K3,0.999997816
hsa-let-7b-5p,ENST00000487099,ENSG00000148200,NR6A1,0.999997122
hsa-let-7b-5p,ENST00000297268,ENSG00000164692,COL1A2,0.999997067
hsa-let-7b-5p,ENST00000367084,ENSG00000180667,YOD1,0.999996549
hsa-let-7b-5p,ENST00000458537,ENSG00000136603,SKIL,0.99999636
hsa-let-7b-5p,ENST00000239174,ENSG00000120094,HOXB1,0.999990556
hsa-let-7b-5p,ENST00000286800,ENSG00000156273,BACH1,0.999989275
hsa-let-7b-5p,ENST00000419673,ENSG00000088756,ARHGAP28,0.999988143
hsa-let-7b-5p,ENST00000537553,ENSG00000110888,CAPRIN2,0.999975321
hsa-let-7b-5p,ENST00000290341,ENSG00000159217,IGF2BP1,0.999972894
hsa-let-7b-5p,ENST00000409977,ENSG00000214376,VSTM5,0.999960251
hsa-let-7b-5p,ENST00000346246,ENSG00000179361,ARID3B,0.999958378
hsa-let-7b-5p,ENST00000466544,ENSG00000189050,RNFT1,0.999931199
hsa-let-7b-5p,ENST00000425660,ENSG00000075624,ACTB,0.999903032
hsa-let-7b-5p,ENST00000389286,ENSG00000166450,PRTG,0.999901441
hsa-let-7b-5p,ENST00000231121,ENSG00000113196,HAND1,0.999878042
hsa-let-7b-5p,ENST00000450751,ENSG00000214575,CPEB1,0.99984802
hsa-let-7b-5p,ENST00000426654,ENSG00000102908,NFAT5,0.999823345
hsa-let-7b-5p,ENST00000271411,ENSG00000143190,POU2F1,0.99981832
hsa-let-7b-5p,ENST00000524880,ENSG00000258529,ALG9,0.999817839
hsa-let-7b-5p,ENST00000240316,ENSG00000121058,COIL,0.999803161
hsa-let-7b-5p,ENST00000568107,ENSG00000261609,GAN,0.999799197
hsa-let-7b-5p,ENST00000304636,ENSG00000168542,COL3A1,0.999778004
hsa-let-7b-5p,ENST00000304581,ENSG00000008323,PLEKHG6,0.999761192
hsa-let-7b-5p,ENST00000531050,ENSG00000152894,PTPRK,0.999754846
hsa-let-7b-5p,ENST00000582266,ENSG00000173065,FAM222B,0.999750693
hsa-let-7b-5p,ENST00000243349,ENSG00000123612,ACVR1C,0.999672626
hsa-let-7b-5p,ENST00000534964,ENSG00000047346,FAM214A,0.999612154
hsa-let-7b-5p,ENST00000355238,ENSG00000135316,SYNCRIP,0.999594356
hsa-let-7b-5p,ENST00000420470,ENSG00000236699,ARHGEF38,0.99959119
hsa-let-7b-5p,ENST00000265563,ENSG00000114302,PRKAR2A,0.999573168
hsa-let-7b-5p,ENST00000326279,ENSG00000131914,LIN28A,0.999509469
hsa-let-7b-5p,ENST00000253270,ENSG00000130958,SLC35D2,0.999509436
hsa-let-7b-5p,ENST00000261192,ENSG00000060982,BCAT1,0.999494113
hsa-let-7b-5p,ENST00000287020,ENSG00000156466,GDF6,0.999466515
hsa-let-7b-5p,ENST00000361127,ENSG00000198799,LRIG2,0.999421743
hsa-let-7b-5p,ENST00000326225,ENSG00000153207,AHCTF1,0.999412157
hsa-let-7b-5p,ENST00000525748,ENSG00000165970,SLC6A5,0.999357601
hsa-let-7b-5p,ENST00000504830,ENSG00000151388,ADAMTS12,0.999289682
hsa-let-7b-5p,ENST00000325192,ENSG00000179476,C14orf28,0.999288509
hsa-let-7b-5p,ENST00000367545,ENSG00000152818,UTRN,0.99928701
hsa-let-7b-5p,ENST00000512123,ENSG00000138759,FRAS1,0.999265847
hsa-let-7b-5p,ENST00000383163,ENSG00000206260,PRR23A,0.999216233
hsa-let-7b-5p,ENST00000304506,ENSG00000169194,IL13,0.999149411
hsa-let-7b-5p,ENST00000272164,ENSG00000143816,WNT9A,0.999102319
hsa-let-7b-5p,ENST00000336926,ENSG00000127946,HIP1,0.999095745
hsa-let-7b-5p,ENST00000511516,ENSG00000164327,RICTOR,0.999005911
hsa-let-7b-5p,ENST00000265992,ENSG00000107443,CCNJ,0.998896239
hsa-let-7b-5p,ENST00000421467,ENSG00000136231,IGF2BP3,0.998884002
hsa-let-7b-5p,ENST00000399503,ENSG00000095015,MAP3K1,0.998882932
hsa-let-7b-5p,ENST00000568210,ENSG00000140474,ULK3,0.998751039
hsa-let-7b-5p,ENST00000554557,ENSG00000072121,ZFYVE26,0.998742073
hsa-let-7b-5p,ENST00000374994,ENSG00000106799,TGFBR1,0.998636885
hsa-let-7b-5p,ENST00000454337,ENSG00000261732,LA16c-431H6.6,0.998526379
hsa-let-7b-5p,ENST00000526627,ENSG00000256235,SMIM3,0.998331241
hsa-let-7b-5p,ENST00000261845,ENSG00000069956,MAPK6,0.998301966
hsa-let-7b-5p,ENST00000538548,ENSG00000061936,SFSWAP,0.998120286
hsa-let-7b-5p,ENST00000535361,ENSG00000166900,STX3,0.99807368
hsa-let-7b-5p,ENST00000269195,ENSG00000141429,GALNT1,0.997889584
hsa-let-7b-5p,ENST00000392102,ENSG00000135912,TTLL4,0.997490186
hsa-let-7b-5p,ENST00000480945,ENSG00000197312,DDI2,0.997481658
hsa-let-7b-5p,ENST00000307954,ENSG00000217128,FNIP1,0.997475
hsa-let-7b-5p,ENST00000345060,ENSG00000188778,ADRB3,0.997316008
hsa-let-7b-5p,ENST00000305988,ENSG00000169252,ADRB2,0.99725341
hsa-let-7b-5p,ENST00000274276,ENSG00000145623,OSMR,0.997021607
hsa-let-7b-5p,ENST00000434009,ENSG00000009413,REV3L,0.996938701
hsa-let-7b-5p,ENST00000256429,ENSG00000134046,MBD2,0.996822208
hsa-let-7b-5p,ENST00000497876,ENSG00000131061,ZNF341,0.996731009
hsa-let-7b-5p,ENST00000257359,ENSG00000134917,ADAMTS8,0.996708996
hsa-let-7b-5p,ENST00000310803,ENSG00000172575,RASGRP1,0.996697541
hsa-let-7b-5p,ENST00000342287,ENSG00000167081,PBX3,0.996648601
hsa-let-7b-5p,ENST00000315870,ENSG00000071243,ING3,0.996203541
hsa-let-7b-5p,ENST00000375290,ENSG00000185920,PTCH1,0.996183936
hsa-let-7b-5p,ENST00000494090,ENSG00000196739,COL27A1,0.996159139
hsa-let-7b-5p,ENST00000311015,ENSG00000172687,ZNF738,0.996071605
hsa-let-7b-5p,ENST00000328252,ENSG00000182752,PAPPA,0.996007313
hsa-let-7b-5p,ENST00000327381,ENSG00000206579,XKR4,0.995991205
hsa-let-7b-5p,ENST00000323816,ENSG00000007237,GAS7,0.995955133
hsa-let-7b-5p,ENST00000281043,ENSG00000134323,MYCN,0.995674826
hsa-let-7b-5p,ENST00000367188,ENSG00000158615,PPP1R15B,0.995629752
hsa-let-7b-5p,ENST00000521075,ENSG00000153317,ASAP1,0.995566655
